,OSMID,pred_mean_wi,pred_std_wi
0,27565068,74.99574,14.325616
1,254528943,61.097637,15.151842
2,331139689,79.45347,14.915523
3,331139740,71.44498,16.062279
4,331142069,65.24759,14.648793
5,331144234,51.747272,14.600205
6,331151099,48.993107,14.187191
7,331155527,75.19243,15.535375
8,331157135,61.13837,13.929971
9,339582598,72.35418,13.384475
10,667654938,49.53551,14.339164
11,667664658,42.290176,13.902503
12,667673760,55.31594,12.476543
13,925697533,39.378666,13.531405
14,925697921,41.23153,14.2622385
15,925710565,64.412636,13.699334
16,925714106,38.397343,13.741957
17,925723766,74.54067,15.943177
18,925724571,40.022175,14.124511
19,925725587,42.02114,14.718706
20,926024447,39.47247,13.045445
21,926027458,43.466618,13.317581
22,926800039,67.61909,16.075424
23,926835172,39.34316,13.605224
24,926860006,49.479168,13.721318
25,927078063,47.962296,14.462486
26,927113108,39.716125,13.663045
27,1252235302,69.16526,12.870536
28,1253870271,71.13995,13.8958845
29,1827771047,74.045006,13.5107
30,1827771079,73.17651,13.977285
31,1827907492,74.15937,13.353705
32,1827907498,65.998405,12.563678
33,2035490237,66.6223,15.095192
34,2178082104,68.274956,14.756875
35,2178082107,62.170235,14.974061
36,2178082108,56.12713,13.969178
37,2178082109,39.42161,13.675922
38,2178082110,41.2815,13.120019
39,2178082112,31.264091,12.6381445
40,2178082113,72.77571,13.815254
41,2178082114,46.65186,12.568068
42,2178082115,67.363014,15.859603
43,2178082117,61.453007,13.729799
44,2178082119,55.018494,15.634966
45,2178082121,46.18618,14.547056
46,2178082122,43.573612,13.757213
47,2178082127,49.07329,14.0675535
48,2178082128,54.794815,15.264324
49,2178082130,53.92567,14.714144
50,2178082132,45.491184,13.150904
51,2178082133,60.285175,15.217937
52,2178082134,58.388557,15.260127
53,2178082135,56.23668,12.939594
54,2178082138,44.033474,13.252377
55,2178082139,49.748947,13.302783
56,2178082144,41.016296,13.084186
57,2178082147,31.351885,12.367849
58,2178082151,31.580837,13.046651
59,2178090546,67.04831,14.472224
60,2288519259,54.06559,13.658161
61,2288519271,56.362343,13.0012245
62,2511509409,60.935234,14.2345085
63,2557151229,74.753075,13.185071
64,2557206314,73.18154,12.869314
65,2562335437,46.319565,13.284931
66,2583534323,48.13066,12.925582
67,2751567368,46.056385,14.153816
68,2751567369,42.18471,12.810794
69,2751567373,49.03999,12.829119
70,2751567375,36.347527,13.058591
71,2929358917,72.82738,13.0083475
72,2983662346,34.061295,12.767523
73,2983662748,36.460968,13.297941
74,3013074953,53.60946,14.019552
75,3300964489,44.503773,13.656385
76,3300964498,38.331352,13.685019
77,3300964529,44.686325,13.377852
78,3300964548,37.07282,13.025387
79,3300965072,44.849503,15.884321
80,3300967316,36.490273,13.269742
81,3300967680,34.232933,12.984268
82,3300968258,44.866596,14.263382
83,3300968445,46.99434,13.705072
84,3450710257,53.45053,13.71671
85,3601427741,35.296234,12.225388
86,3601434595,30.713726,12.297479
87,3601890937,46.37465,13.993755
88,3601892360,42.407665,14.011264
89,3601977206,37.306942,13.217453
90,3601998292,42.332314,12.862393
91,3601998352,38.37028,12.521443
92,3602059225,37.39918,13.914473
93,3602066621,35.39901,12.904411
94,3602084492,54.597107,15.786067
95,3602159393,46.42123,14.316414
96,3602161392,48.940296,13.473216
97,3602168413,46.842846,13.619671
98,3602190233,30.655844,12.8337
99,3602255419,39.943462,12.942407
100,3602336674,36.3459,12.953508
101,3602339828,46.08523,13.734253
102,3602398264,38.339832,12.589531
103,3602437996,44.761646,12.966372
104,3602449178,37.899548,13.514683
105,3602451363,34.592094,13.037052
106,3602470461,34.574284,13.165261
107,3602473309,30.428179,12.369505
108,3602476247,32.98249,12.830259
109,3613007265,35.086613,12.870542
110,3616299454,38.105125,12.989503
111,3616301221,34.751564,12.748402
112,3616301222,43.701427,13.962912
113,3616303318,43.684143,13.434317
114,3616328847,37.61072,13.859579
115,3616337912,33.42245,12.005209
116,3616364165,44.598206,13.898867
117,3616370639,36.982727,12.681062
118,3616372572,34.542522,12.861916
119,3616448776,45.178043,14.813774
120,3616463030,31.877865,12.861466
121,3616464353,26.786655,11.67037
122,3616479711,27.425894,11.856964
123,3616479712,42.22133,12.752692
124,3616494863,31.50219,12.576973
125,3616524088,28.034744,12.096203
126,3616571421,33.39935,13.34351
127,3616575413,36.588398,12.311089
128,3616600262,47.85646,13.717536
129,3616739650,28.661533,11.471601
130,3616742872,30.073996,12.758531
131,3616971465,32.262096,12.957554
132,3617020731,32.358963,12.748574
133,3617046129,34.413197,12.815431
134,3617060217,42.16588,12.931795
135,3618561132,39.81795,13.716946
136,3844304757,65.619354,15.323607
137,3887743942,42.739147,14.514874
138,4216958053,35.360794,12.558597
139,4621919687,64.76975,15.407093
140,4861855742,58.361637,14.4294615
141,4866498043,41.344975,14.939067
142,4866556660,38.104446,13.137511
143,4866796403,40.53938,13.369856
144,4867037948,41.03938,13.384957
145,4890679003,40.546978,14.016143
146,4890679421,36.530888,13.534065
147,4929934445,75.16326,14.058179
148,4934640784,65.703156,13.897942
149,4934640785,65.33033,13.457196
150,4934640798,76.66543,15.562479
151,4943030743,74.349625,12.829736
152,4977404812,64.73611,14.820738
153,4986576600,55.988125,14.460081
154,4986576602,53.916576,14.016583
155,4987046415,54.439938,12.756751
156,4990747203,59.29571,15.195383
157,4990818188,66.28683,14.30613
158,4990818202,65.11934,16.057266
159,4990818203,67.06685,15.619209
160,4990818204,59.615402,15.428022
161,4990916745,52.32967,14.796053
162,4995306338,40.731606,14.635176
163,4995375968,49.87317,14.04848
164,4995525652,68.211296,15.277098
165,4995554287,36.853756,12.544345
166,4996513443,49.53301,13.902554
167,5156826217,53.05799,13.072525
168,5157553366,38.503387,13.52366
169,5157557275,33.446358,12.694979
170,5157597702,38.82228,13.570516
171,5157598159,33.844196,13.335884
172,5157600984,43.38348,14.12788
173,5157601002,35.027367,12.862565
174,5157603172,40.805264,13.614147
175,5157604846,39.302498,13.349881
176,5157605495,39.58394,13.282579
177,5157609468,44.8249,14.406375
178,5157618944,35.847343,12.696786
179,5158493391,30.071192,12.098101
180,5158493393,29.990126,12.133321
181,5158498295,41.019382,12.826036
182,5158498910,38.44782,12.841944
183,5158499466,34.83144,12.945375
184,5158499758,37.818897,12.781692
185,5158500500,37.96704,12.61412
186,5158502765,40.8478,13.281955
187,5158503725,40.9582,13.344758
188,5158613163,46.196865,14.257431
189,5158646371,37.925167,14.459698
190,5158646385,45.515976,15.87166
191,5158656720,44.880974,14.485132
192,5158656741,31.665224,12.17805
193,5158657042,41.038475,14.280947
194,5158657163,43.598923,14.382236
195,5158657361,31.904982,12.414567
196,5158657679,38.110554,13.597485
197,5158659411,36.393177,13.880417
198,5158660021,34.062885,12.904541
199,5158668269,35.55054,13.069567
200,5158675381,38.747295,13.903962
201,5158677376,36.79364,13.249973
202,5158677997,39.282185,13.16974
203,5158680735,36.541203,13.059373
204,5183223129,53.28732,12.871794
205,5183227844,54.945602,12.726361
206,5183229365,39.27612,13.11491
207,5183231629,55.460808,12.727117
208,5183235189,48.50199,12.917253
209,5183241521,38.989708,13.4963255
210,5183253348,42.07317,13.003672
211,5183264727,41.149147,12.941018
212,5183269321,34.918568,12.88986
213,5183270684,40.44767,13.314905
214,5183278451,37.475456,13.049044
215,5183283991,33.775997,13.00666
216,5183284662,34.1955,12.800477
217,5233556246,32.9664,12.579245
218,5240167081,33.20659,12.257864
219,5639697663,37.048775,13.235133
220,5652124676,33.371323,13.055893
221,5652185744,33.960903,12.6085415
222,5664420026,42.83098,13.3252
223,5664565673,41.878983,14.771015
224,5664614705,36.78194,13.286997
225,5664614715,34.63547,13.217409
226,5664619126,38.507236,13.362874
227,5681276201,39.65663,12.558394
228,5686475301,56.985165,16.249937
229,5686475302,60.98033,15.736403
230,5686478566,63.072216,13.835962
231,5686478571,61.846336,13.669772
232,5686480908,63.343536,14.425163
233,5686481087,63.951893,14.450689
234,5686481674,64.73075,14.925438
235,5686481730,59.04418,14.5991535
236,5686482552,66.78317,15.10202
237,5686487093,59.996323,15.783671
238,5686489939,54.908894,15.697303
239,5686490051,66.86734,14.99265
240,5686495946,60.79111,13.811203
241,5689078498,61.664024,15.634428
242,5689080601,62.268177,15.749642
243,5689089654,59.030914,15.53818
244,5689094237,67.25393,15.362857
245,5689094892,70.65679,16.243954
246,5689096127,63.36882,15.660724
247,5689109653,57.643684,15.210091
248,5689110827,58.767406,15.754384
249,5689113123,66.74323,15.395554
250,5689115010,63.051155,15.520851
251,5689116887,67.45923,15.618772
252,5689117063,66.58395,15.693927
253,5689205506,65.55308,14.786763
254,5689206321,69.487465,14.890493
255,5693520108,35.54038,13.174971
256,5693793637,33.062386,12.633736
257,5695509071,51.930664,14.828768
258,5860100786,41.932632,13.878829
259,5860100797,33.652832,12.529287
260,5860100902,46.628155,14.423171
261,5860100903,39.7997,13.298058
262,5860100904,35.2681,13.103641
263,5860100907,33.55904,12.84095
264,5860100908,35.205364,13.169263
265,5860100909,45.984512,14.007771
266,5860100911,37.082188,13.37691
267,5860100990,39.400436,13.564512
268,5860100991,40.217102,13.149429
269,5860100992,38.00196,13.119998
270,5860100994,41.96961,13.579642
271,5860101296,45.23907,13.439659
272,5860101300,39.398857,12.154925
273,5860101304,45.470116,12.9394045
