,OSMID,pred_mean_wi,pred_std_wi
0,27565068,77.36745,14.595205
1,254528943,60.73669,15.382697
2,331139689,77.142784,14.067658
3,331139740,69.86763,15.191425
4,331142069,65.63716,15.101756
5,331144234,58.026802,15.328685
6,331151099,56.791946,15.144437
7,331155527,75.94992,14.913593
8,331157135,59.67415,14.970728
9,339582598,75.45325,14.145676
10,667654938,44.428486,14.316509
11,667664658,38.03795,13.743239
12,667673760,55.792084,14.881811
13,925697533,35.166485,13.8762
14,925697921,39.98582,14.730637
15,925710565,58.865765,13.619382
16,925714106,34.06585,14.213274
17,925723766,66.40364,14.244537
18,925724571,34.957752,14.389684
19,925725587,39.938892,15.084353
20,926024447,34.81358,13.595364
21,926027458,42.020752,13.664361
22,926800039,65.269684,15.221082
23,926835172,35.104584,13.513731
24,926860006,51.963543,15.152899
25,927078063,47.66515,15.21107
26,927113108,37.934082,13.845355
27,1252235302,72.24369,14.102982
28,1253870271,73.11042,14.327349
29,1827771047,75.82253,14.134244
30,1827771079,75.03932,14.47035
31,1827907492,72.05,13.886357
32,1827907498,63.617096,13.820713
33,2035490237,66.81057,14.852545
34,2178082104,60.225437,14.453938
35,2178082107,58.59673,13.987439
36,2178082108,52.683346,14.222392
37,2178082109,39.417965,14.106533
38,2178082110,36.959152,13.599509
39,2178082112,29.566132,13.630251
40,2178082113,69.86101,14.379557
41,2178082114,57.756565,14.773437
42,2178082115,65.98469,15.096803
43,2178082117,64.26806,14.4523115
44,2178082119,52.624767,15.141671
45,2178082121,45.829655,14.781285
46,2178082122,39.258804,14.404953
47,2178082127,44.461758,14.451751
48,2178082128,53.724865,15.236787
49,2178082130,55.31804,15.450639
50,2178082132,53.256138,15.650096
51,2178082133,58.544727,15.49364
52,2178082134,57.056553,15.426224
53,2178082135,67.343216,14.204749
54,2178082138,37.462917,13.328172
55,2178082139,52.867558,14.944331
56,2178082144,45.201077,14.32517
57,2178082147,29.953049,13.661372
58,2178082151,29.877642,13.694748
59,2178090546,69.16467,14.925568
60,2288519259,59.678448,15.06312
61,2288519271,57.29897,15.052311
62,2511509409,57.010487,14.496248
63,2557151229,78.078125,14.043988
64,2557206314,77.017975,14.001969
65,2562335437,54.05528,14.603961
66,2583534323,55.2493,15.31386
67,2751567368,47.52103,15.410456
68,2751567369,44.078762,14.503241
69,2751567373,54.788895,15.297812
70,2751567375,35.59578,14.050488
71,2929358917,76.999245,13.983901
72,2983662346,32.012634,13.844397
73,2983662748,32.83019,14.041341
74,3013074953,52.11636,14.1884165
75,3300964489,49.576588,15.932064
76,3300964498,33.31486,14.247279
77,3300964529,44.727665,14.093461
78,3300964548,32.01181,13.601882
79,3300965072,39.06805,14.488308
80,3300967316,31.898184,13.733576
81,3300967680,30.950865,13.762537
82,3300968258,47.8059,15.92496
83,3300968445,51.17955,15.950461
84,3450710257,47.68206,13.838549
85,3601427741,33.38893,13.493211
86,3601434595,30.514105,13.387037
87,3601890937,49.689327,15.344505
88,3601892360,47.459972,15.500934
89,3601977206,34.687397,13.853211
90,3601998292,44.545452,14.782355
91,3601998352,39.769646,14.291018
92,3602059225,36.812016,14.420778
93,3602066621,34.50466,14.155568
94,3602084492,54.95363,14.373074
95,3602159393,49.13498,14.859781
96,3602161392,51.921566,14.4256
97,3602168413,48.749527,14.50777
98,3602190233,29.50136,13.601852
99,3602255419,35.774902,13.555968
100,3602336674,34.962605,14.066938
101,3602339828,41.655468,14.358659
102,3602398264,38.612118,13.85303
103,3602437996,49.253326,15.216895
104,3602449178,38.08546,14.546945
105,3602451363,33.71592,13.858666
106,3602470461,34.46649,13.9842825
107,3602473309,29.659845,13.497513
108,3602476247,31.800102,13.896705
109,3613007265,31.793129,13.790651
110,3616299454,36.26559,14.373459
111,3616301221,31.043324,13.7574625
112,3616301222,35.718384,13.935498
113,3616303318,40.397644,14.220776
114,3616328847,44.471207,15.477977
115,3616337912,34.54499,13.63151
116,3616364165,39.443638,14.401151
117,3616370639,37.531845,13.522439
118,3616372572,33.555294,14.000816
119,3616448776,40.46266,14.818198
120,3616463030,30.082747,13.635553
121,3616464353,27.926325,13.208038
122,3616479711,28.162054,13.258117
123,3616479712,43.14728,14.195743
124,3616494863,31.388506,13.869709
125,3616524088,28.148321,13.258848
126,3616571421,31.662674,13.69016
127,3616575413,32.80033,13.475936
128,3616600262,48.746445,15.016264
