,OSMID,pred_mean_wi,pred_std_wi
0,27564980,45.34969,12.187801
1,321350037,25.611923,9.68568
2,321350077,56.203415,14.905516
3,321350088,33.98549,11.49734
4,321350099,48.93721,14.520635
5,321350121,13.81093,7.65556
6,321350140,41.31141,11.653345
7,321543658,40.15315,12.892244
8,476511767,35.390224,11.65629
9,476544399,42.83016,12.833903
10,476605695,32.970642,11.267938
11,476624163,34.036617,10.796112
12,476624464,34.46033,13.39087
13,476644372,43.826942,14.957483
14,476645658,38.28809,12.404386
15,476650148,25.410936,10.523011
16,476658831,27.147173,9.367599
17,476660195,28.501804,10.26716
18,476717530,33.175465,10.510332
19,1196654474,19.097792,8.776734
20,1196655597,20.967844,9.163521
21,1207693088,30.067629,10.686486
22,1207693143,22.595955,9.555147
23,1207693330,23.833826,9.331155
24,1207693416,31.317904,10.077195
25,1207693455,23.426386,9.307241
26,1207693605,28.754354,10.299368
27,1207693623,23.125942,9.83003
28,1207752399,25.584478,9.8797655
29,1253154960,44.832188,14.085662
30,1345739769,24.444502,9.290674
31,1345739773,34.03625,10.102122
32,1345739783,29.05607,9.576668
33,1345739787,25.030523,9.41544
34,1345739794,22.4037,8.975293
35,1345759528,18.24455,8.179635
36,1345759532,16.828695,7.9003434
37,1345759536,22.181025,8.879624
38,1345759540,43.513477,14.118806
39,1848494504,31.084356,9.280225
40,1848525200,25.498549,9.821305
41,1848526314,30.865423,9.862997
42,1848533186,46.246067,13.704331
43,2189927054,36.763237,10.966317
44,2189929542,46.625156,13.235278
45,2189936799,25.018589,9.677006
46,2189951896,53.11215,14.663597
47,2189959219,41.248196,12.4708605
48,2496539787,21.013435,8.869662
49,2496539790,26.792685,9.818857
50,2496539795,23.903597,9.266863
51,2496539799,27.239782,10.281226
52,2496546839,38.92407,11.366471
53,2496546844,27.538214,9.672584
54,2496546849,19.6869,8.796692
55,2521144734,20.54646,8.936135
56,2524274712,18.203718,8.5175705
57,2524277076,17.343008,8.389021
58,2524354471,20.702005,8.708889
59,2524354472,18.25634,8.926976
60,2524356074,24.63562,9.360133
61,2524356076,19.484089,8.56656
62,2524356079,17.722765,8.462337
63,2524356082,17.164759,8.693602
64,2524412432,23.015108,9.799117
65,2524515222,14.887604,7.6753316
66,2528372454,30.364904,10.075267
67,2528372458,23.455637,9.14471
68,2528372465,20.01975,9.049125
69,2528420789,30.180307,9.85654
70,2528420790,29.372974,10.153644
71,2528420791,15.25287,7.842881
72,2528420792,18.899424,8.489099
73,2528420793,20.014711,9.121287
74,2528420794,16.49327,7.9924054
75,2528420795,19.760023,9.012872
76,2528420796,17.506052,8.054416
77,2528420797,19.11778,9.05273
78,2528420799,18.691425,8.971889
79,2528420800,21.439932,9.72261
80,2595678317,23.941702,9.151856
81,2742387534,26.299692,10.061911
82,2742837895,24.75013,9.552056
83,2742837908,21.835037,8.904965
84,2742837914,22.156729,9.144715
85,2742837919,19.652464,8.733796
86,2742837927,24.993734,9.758382
87,2742837939,21.606632,9.157044
88,2742837960,20.606888,8.820741
89,2742837964,20.658886,8.583881
90,2742838007,19.997246,8.795386
91,2742838058,22.21092,8.965914
92,2742838059,26.139074,9.449182
93,2742838061,20.84543,8.824931
94,2742838063,20.546293,8.735356
95,2742838152,24.271742,9.888863
96,2742838171,26.188213,9.343989
97,2742838184,24.566702,9.715559
98,2742838192,23.35119,9.178968
99,2742838197,19.574766,8.568377
100,2742838205,20.816412,8.919887
101,2742838232,21.515162,9.0446205
102,2742838238,24.213844,9.570877
103,2742838252,19.599539,8.4292145
104,2742838262,20.016548,8.591363
105,2751192337,26.999952,10.011079
106,2751280318,40.38803,12.419037
107,2751280750,39.36573,12.827983
108,2751290664,26.457703,9.805268
109,2751291539,29.21741,10.348061
110,2751338605,22.711962,9.2887335
111,2751376837,23.864752,9.37289
112,2756860897,26.525913,9.836451
113,2756860898,21.70663,9.448344
114,2756860899,27.018833,9.74186
115,2756860900,18.847776,8.439918
116,2756860902,20.054813,9.108927
117,2756860903,21.5633,9.532421
118,2756860905,22.96764,9.132585
119,2756860907,23.420115,9.321916
120,2756860908,21.87811,9.614368
121,2756860909,23.041212,9.337824
122,2756860910,21.897299,9.308671
123,2756860911,24.883993,9.794334
124,2756860912,23.432722,9.511266
