,OSMID,pred_mean_wi,pred_std_wi
0,27564980,43.734997,13.882423
1,321350037,22.436544,10.230173
2,321350077,51.122383,16.994736
3,321350088,40.033962,14.732927
4,321350099,45.100483,16.340305
5,321350121,14.535707,9.178032
6,321350140,32.373398,12.589224
7,321543658,41.169075,16.04512
8,476511767,33.713104,14.230663
9,476544399,46.031975,15.0540695
10,476605695,29.38829,11.5785885
11,476624163,29.968277,13.428392
12,476624464,34.43357,14.331255
13,476644372,45.572895,16.037434
14,476645658,42.859436,16.297333
15,476650148,26.966522,12.572152
16,476658831,29.360098,12.116406
17,476660195,29.099644,12.271171
18,476717530,34.281807,14.512287
19,1196654474,18.060925,10.321945
20,1196655597,18.556799,9.923002
21,1207693088,31.046097,13.315706
22,1207693143,20.845257,11.683446
23,1207693330,20.262028,11.622538
24,1207693416,26.84065,13.0103
25,1207693455,17.898106,9.093943
26,1207693605,16.532822,9.530388
27,1207693623,18.962376,10.809864
28,1207752399,24.795792,11.410182
29,1253154960,49.29874,17.666338
30,1345739769,14.734432,8.605499
31,1345739773,24.329828,11.150373
32,1345739783,21.82829,9.90777
33,1345739787,16.340399,8.847731
34,1345739794,17.893433,9.654027
35,1345759528,18.632586,9.638997
36,1345759532,16.042152,9.3262005
37,1345759536,18.441332,10.053456
38,1345759540,33.939133,14.90357
39,1848494504,20.715847,10.606249
40,1848525200,25.937689,10.879966
41,1848526314,31.267107,11.788782
42,1848533186,47.51024,15.721001
43,2189927054,37.853592,13.202324
44,2189929542,49.115505,16.928883
45,2189936799,24.2581,9.4241295
46,2189951896,46.364815,14.765245
47,2189959219,37.015892,14.348743
48,2496539787,16.978619,9.081248
49,2496539790,24.546196,11.022681
50,2496539795,21.859035,10.783381
51,2496539799,25.874735,12.178902
52,2496546839,28.744524,13.015346
53,2496546844,19.336336,9.553177
54,2496546849,15.044438,9.836626
55,2521144734,23.409824,12.485785
56,2524274712,18.124367,9.963057
57,2524277076,17.808407,10.962905
58,2524354471,23.060463,11.248688
59,2524354472,15.957493,9.657675
60,2524356074,26.030148,12.281066
61,2524356076,17.359266,9.552089
62,2524356079,14.426314,9.532037
63,2524356082,17.04005,10.208633
64,2524412432,28.490303,12.341799
65,2524515222,19.376995,10.504009
66,2528372454,26.717587,10.660662
67,2528372458,20.79177,9.816628
68,2528372465,24.181135,12.132284
69,2528420789,24.515135,10.669753
70,2528420790,35.918972,13.043594
71,2528420791,16.278286,10.619341
72,2528420792,21.51127,9.787821
73,2528420793,19.256767,10.165787
74,2528420794,21.810684,9.904916
75,2528420795,23.373266,11.243024
76,2528420796,12.93692,8.830612
77,2528420797,14.928857,9.106009
78,2528420799,15.105709,8.568663
79,2528420800,20.184261,10.684922
80,2595678317,21.226719,10.282335
81,2742387534,30.152786,12.851257
82,2742837895,22.479095,11.673645
83,2742837908,19.117723,10.702866
84,2742837914,20.331783,10.27315
85,2742837919,19.081406,10.46736
86,2742837927,25.381147,12.232188
87,2742837939,20.70369,11.052604
88,2742837960,19.458538,10.350361
89,2742837964,18.436554,10.349195
90,2742838007,18.556995,9.918563
91,2742838058,20.00075,10.367117
92,2742838059,23.250906,10.428918
93,2742838061,13.640318,9.892968
94,2742838063,19.014683,9.76065
95,2742838152,20.28524,10.010405
96,2742838171,24.87571,11.071852
97,2742838184,20.994324,10.266997
98,2742838192,22.087677,11.131678
99,2742838197,16.855839,9.495179
100,2742838205,17.728039,11.364929
101,2742838232,23.802757,11.633388
102,2742838238,21.773384,10.826151
103,2742838252,16.436506,8.780865
104,2742838262,21.796646,10.671816
105,2751192337,29.451334,12.1016655
106,2751280318,42.72348,14.793915
107,2751280750,50.929752,17.67796
108,2751290664,21.373392,10.0435505
109,2751291539,28.209373,12.17425
110,2751338605,20.017479,11.679053
111,2751376837,22.032677,11.163681
112,2756860897,19.537373,10.073517
113,2756860898,18.068977,10.192055
114,2756860899,18.860378,9.77286
115,2756860900,15.864834,10.016243
116,2756860902,17.217552,10.734793
117,2756860903,18.363722,10.2184725
118,2756860905,20.595634,11.035832
119,2756860907,20.437496,11.697135
120,2756860908,25.31506,12.202875
121,2756860909,25.358786,11.607775
122,2756860910,20.327412,10.860623
123,2756860911,22.532791,11.680025
124,2756860912,22.105927,10.6624155
125,2756860913,21.410936,10.930886
126,2756860914,18.80415,10.350666
127,2756860915,24.28568,12.214549
128,2756860917,24.52644,11.7096405
129,2756860919,14.882997,9.297449
130,2756860920,21.846386,11.080061
131,2756860921,23.128096,11.301471
132,2756860924,28.220945,13.197987
133,2756860926,25.636412,14.281521
134,2756860928,16.006048,10.750976
135,2756860933,16.533554,10.260418
136,2756860938,23.801178,11.839129
137,2756860943,16.300179,10.764347
138,2756860949,17.259697,10.365053
139,2756860957,20.04942,10.789842
140,2756860964,19.90572,11.07042
141,2756860973,13.373024,9.43898
142,2756860979,20.96759,11.11719
143,2756860987,17.343075,10.931051
144,2756860995,20.36541,11.330535
145,2756861006,20.81565,12.040674
146,2756926006,18.300941,11.056555
147,2756926008,18.701479,11.092833
148,2756926022,17.313248,10.461458
149,2756926031,15.561046,10.178762
