,OSMID,pred_mean_wi,pred_std_wi
0,60485579,47.348286,16.26713
1,271315342,51.79917,18.447058
2,271317488,58.34328,18.333902
3,271318051,38.760036,16.597754
4,277545301,45.623516,15.900658
5,277545685,37.74867,14.718059
6,277545728,36.60411,14.64592
7,277547195,50.82597,17.917488
8,277547425,45.41686,16.133446
9,277562135,43.30697,16.532738
10,279256106,38.158535,15.256652
11,281680031,32.122368,15.083843
12,281680644,54.58099,17.264559
13,281680646,37.7827,14.283137
14,281680647,37.933758,16.376406
15,281680648,58.833218,19.592794
16,281680649,27.623768,14.88241
17,281680650,36.43663,15.75713
18,281680651,40.60091,15.11506
19,281680652,50.47744,18.199387
20,281680653,35.56192,14.74254
21,282222437,50.545254,17.915903
22,293813047,31.14799,12.202203
23,317409342,45.635883,15.172708
24,317409417,58.34455,19.75047
25,317409445,63.327473,19.37346
26,317412524,44.925182,16.954279
27,317412526,43.237663,13.9162
28,317412561,40.549316,16.570219
29,317412602,47.481342,17.838488
30,317412939,37.2741,14.832301
31,317416328,40.313816,15.094147
32,317416331,34.035145,14.746372
33,317416567,31.165455,13.257912
34,317416602,46.582565,16.946318
35,317420017,60.552116,20.437346
36,317420372,37.175755,14.591361
37,317420714,32.497944,14.088362
38,317425077,28.903387,12.5330105
39,317425140,38.292355,14.298245
40,317447628,34.549267,13.164978
41,317454955,40.802864,15.4976225
42,317454957,36.876804,14.099122
43,317454958,34.901108,15.150029
44,317454959,31.966122,14.219266
45,317454960,40.08303,16.135569
46,317454961,42.411594,16.366896
47,317454963,41.81418,15.7946205
48,317454964,34.83142,12.62389
49,317458583,34.344963,13.316488
50,317458585,36.369556,13.481679
51,317458586,37.777573,15.238593
52,317458638,40.66914,17.858015
53,317458640,37.348743,16.409454
54,317527572,28.857069,14.053701
55,317529854,29.411407,13.250158
56,317529855,30.642284,13.098909
57,317529857,28.48467,14.6881275
58,317529858,29.044447,15.044652
59,317534035,33.736565,14.782431
60,317570417,36.694614,13.871372
61,317570422,36.533905,13.340569
62,317570423,34.24284,13.645345
63,317570426,29.043282,13.2051525
64,317570429,36.24324,14.676605
65,317571865,39.119267,14.888007
66,317571866,34.704926,14.493657
67,317571867,37.545937,15.415888
68,317571868,35.88008,15.256279
69,317571869,34.400543,14.447725
70,317571870,37.878258,14.81102
71,317571871,33.233612,13.802914
72,317571872,34.678905,14.726607
73,317571873,45.28737,17.379225
74,317577304,43.157898,16.261887
75,317581650,43.171772,16.793303
76,317583601,34.114365,14.60925
77,317584803,30.659515,13.916962
78,317584809,28.482536,13.336711
79,317584999,28.912724,11.437756
80,317585001,36.982536,13.576342
81,317585865,29.580072,14.488253
82,317585866,39.40563,15.425036
83,317585867,33.35278,13.285664
84,317585868,47.83025,14.587247
85,317585869,35.261314,13.095561
86,317585870,36.268047,14.182474
87,317585871,38.476635,15.105667
88,317596796,38.112984,11.891112
89,317706129,43.719368,16.345713
90,317706275,48.895725,16.05543
91,435278639,40.190685,14.729226
92,435344773,37.39106,16.21513
93,435344994,50.02512,16.421328
94,435390255,39.31506,13.74401
95,435401870,33.557858,14.7902775
96,435599461,42.932316,16.650595
97,435620924,37.947895,14.466682
98,435636383,34.564606,13.587393
99,435637541,43.54443,15.992802
100,435673502,39.171528,14.54878
101,435695140,30.510569,12.769952
102,435727180,27.686214,12.512923
103,435734300,36.742504,15.238169
104,435757575,44.787113,16.441153
105,435942219,42.665146,15.190628
106,436030472,26.953684,12.747053
107,436042001,37.590164,14.686479
108,436059289,39.441563,15.31154
109,436078644,41.57392,16.711475
