,OSMID,pred_mean_wi,pred_std_wi
0,60485579,47.6123,14.129416
1,271315342,48.11709,14.930032
2,271317488,60.144848,16.68532
3,271318051,37.299595,12.774511
4,277545301,38.85555,13.124373
5,277545685,33.797245,12.776236
6,277545728,33.762608,13.265222
7,277547195,48.01267,14.261358
8,277547425,42.613487,14.080487
9,277562135,38.429142,14.862927
10,279256106,33.493793,12.960515
11,281680031,29.584496,12.555571
12,281680644,57.888557,16.149635
13,281680646,34.076496,14.261336
14,281680647,32.945286,13.569057
15,281680648,59.37895,17.214624
16,281680649,25.832376,12.101369
17,281680650,31.7848,13.6789665
18,281680651,35.38497,13.213174
19,281680652,44.86983,15.536241
20,281680653,31.631563,13.372445
21,282222437,50.690845,15.780761
22,293813047,30.309761,13.285416
23,317409342,40.614353,14.457855
24,317409417,63.466423,18.022919
25,317409445,70.01143,18.818892
26,317412524,42.57527,14.820873
27,317412526,41.669502,14.024914
28,317412561,40.562992,14.473558
29,317412602,43.426357,15.12483
30,317412939,34.62526,13.920753
31,317416328,37.160862,14.538972
32,317416331,32.838444,13.956613
33,317416567,28.639383,12.0974455
34,317416602,45.78426,15.468173
35,317420017,60.007168,16.29333
36,317420372,36.04836,14.124431
37,317420714,31.308914,13.053153
38,317425077,28.28523,12.320684
39,317425140,35.456596,13.999389
40,317447628,34.542145,13.295611
41,317454955,39.512245,14.4328165
42,317454957,33.80575,13.465011
43,317454958,31.817282,13.784611
44,317454959,30.165194,12.915121
45,317454960,35.748417,13.882989
46,317454961,37.655327,13.768106
47,317454963,37.730083,13.6617985
48,317454964,34.505272,12.822899
49,317458583,33.271294,12.473032
50,317458585,35.449646,14.224969
51,317458586,33.791924,13.688681
52,317458638,38.092525,14.096987
53,317458640,33.484505,13.072744
54,317527572,27.970728,12.839429
55,317529854,28.874422,12.900205
56,317529855,29.953468,13.17348
57,317529857,26.187826,12.373573
58,317529858,26.030619,12.164185
59,317534035,30.737843,13.403998
60,317570417,33.126606,12.999034
61,317570422,33.141987,13.637446
