,OSMID,pred_mean_wi,pred_std_wi
0,27565056,53.288544,14.147476
1,314001434,42.62509,13.022391
2,314007819,48.16557,15.303624
3,320058940,34.44398,10.540198
4,320060481,43.523388,13.589098
5,320060535,32.57187,10.462491
6,320060540,29.61808,10.666856
7,372654613,47.287083,13.5627985
8,379429217,22.196392,8.999629
9,379429231,28.261736,8.887258
10,379429232,25.19766,9.179256
11,379432193,37.563126,11.776022
12,379432200,38.12827,12.492641
13,379438219,33.2124,11.249201
14,379461222,25.265078,9.36777
15,379465165,35.73139,10.789942
16,379465997,31.28013,10.958455
17,379466001,22.034687,9.179936
18,379468135,36.633297,11.400055
19,384359233,53.09365,15.324059
20,391778904,54.128586,16.1136
21,401475643,32.008797,10.862233
22,401475785,47.47503,14.131182
23,401475827,49.117756,14.566891
24,401475881,44.28689,13.321894
25,401475894,40.53418,11.696289
26,401475917,40.51758,13.010435
27,401475936,31.028315,10.507357
28,401475961,44.578846,13.362551
29,401475981,31.641903,10.773262
30,401476003,25.535433,10.282126
31,401476039,27.701143,9.562068
32,401476063,28.50403,8.45091
33,401476125,30.672256,9.060861
34,401476172,28.899977,9.199468
35,401476437,54.57352,14.3453865
36,403791252,50.014038,14.716699
37,403791273,53.340767,15.323335
38,403791274,50.538097,14.822054
39,403791342,52.149776,13.769184
40,412698522,24.473738,6.939075
41,428767364,42.608208,14.019168
42,430172907,20.970987,9.254226
43,430173219,22.36978,9.414005
44,432772757,45.106625,13.396339
45,476746505,26.583448,9.793126
46,476753175,40.125877,12.334667
47,483854737,33.484486,10.164134
48,483854997,32.25636,10.0050955
49,483855460,29.418854,10.867305
50,484029056,24.79967,9.399466
51,484029058,19.43519,9.165583
52,491409495,37.67889,12.449855
53,491411731,27.410635,10.186947
54,496344427,32.94484,11.728559
55,496349321,36.64886,11.509237
56,498808721,27.40514,9.630129
57,543446981,30.699186,9.585133
58,543446999,21.996609,8.907737
59,543447056,33.400753,11.237151
60,543447059,31.029503,10.122262
61,543458034,23.170275,8.505192
62,543458062,31.204508,10.410206
63,543458068,29.322104,10.175476
64,543458073,25.91739,8.960061
65,543549513,27.660006,10.689267
66,543549574,32.421944,11.385944
67,543568184,33.070194,11.490924
68,544374407,33.717552,11.157466
69,544375262,29.581148,10.6916895
70,626927447,47.023518,14.56787
71,626927448,31.080748,10.505179
72,626927450,31.318459,10.83734
73,629093595,31.682747,11.046988
74,629093597,36.12562,10.620061
75,667923318,29.183048,10.088022
76,673759179,21.168404,9.344822
77,673768574,26.588343,9.455673
78,673773826,26.569084,9.488333
79,679050235,19.730545,8.415731
80,679050236,18.260824,8.453867
81,685131784,32.31788,10.946237
82,685200253,40.08078,11.60481
83,690686234,26.505253,9.407233
84,707133739,17.812233,7.447258
85,799075295,24.745045,9.48711
86,799075343,21.484343,9.901453
87,799075492,31.536842,11.119764
88,799075562,27.362698,10.393518
89,799076145,19.24345,9.184652
90,799076334,27.266142,10.922303
91,818861249,17.068851,8.650042
92,820151507,34.1803,10.682556
93,828677245,18.619387,8.226578
94,856369610,29.281261,10.047437
95,856378590,22.770779,8.719834
96,856378598,25.771685,10.645393
97,859709020,41.94447,13.0470705
98,859710241,37.74943,11.860109
99,859775959,23.678396,10.25786
100,859911955,23.033686,9.508486
101,860044866,30.032648,10.239879
102,860831446,20.203293,9.073764
103,860831449,32.937775,11.098652
104,860831454,23.426872,9.463911
105,860831458,32.322857,11.39821
106,860831462,19.746672,8.53272
107,860831466,24.06355,9.882546
108,860831467,35.712666,9.326142
109,860831475,23.2727,9.140435
110,883383036,27.107954,10.885731
111,883384020,20.837551,8.938656
112,898951308,29.372091,10.163986
113,898951893,27.10338,8.784275
114,941199974,29.28063,9.89446
115,941200184,23.564873,9.987538
116,941200645,24.082249,9.380599
117,945132001,24.864761,10.525176
118,954899748,43.671375,13.731939
119,1361138689,36.317333,11.314484
120,1403100348,52.956615,15.70515
121,1548068496,19.615664,9.369024
122,1563390052,25.50891,9.591664
123,1610897138,38.267864,11.834909
124,1618595134,27.72531,9.673303
125,1620603490,24.760044,9.586533
126,1660921752,28.319551,9.391656
127,1660921755,29.811441,9.94577
128,1660921758,23.398354,8.735515
129,1660921768,24.705599,9.568978
130,1660921775,35.101467,11.969058
131,1660921778,20.123922,8.960804
132,1660977014,32.406616,10.604717
133,1660977015,25.046066,8.88122
134,1660977025,17.683853,8.608141
135,1660977029,32.59701,10.177268
136,1660977035,32.321434,10.820815
137,1848318165,48.83767,13.816448
138,1848488667,18.52326,9.014635
139,1851334786,31.261602,10.110161
140,1852103408,20.745796,9.155963
141,1852103496,27.862593,11.094841
142,1852103727,26.81828,8.324842
143,1852453733,17.435522,8.963488
144,1853935061,20.76382,8.661509
145,1853935062,26.586868,9.254811
146,1853935063,18.668352,8.636038
147,1853935064,22.730713,7.818017
148,1855031034,24.028048,9.789923
149,1858283973,24.241055,9.570182
150,1858283974,34.316837,12.519055
151,1858283975,34.99042,10.904249
152,1858283976,25.69862,8.645962
153,1859348873,22.89914,8.792841
154,1861320078,31.409222,9.338276
155,1861320080,30.45139,10.877606
156,1871034823,25.104448,10.146497
157,1871034824,30.258524,11.007286
158,1871061345,44.91618,15.415294
159,1871102703,36.652565,11.517397
160,1871271781,21.84542,8.465567
161,1871302010,19.295818,9.101552
162,1871302012,25.263605,10.474014
163,1871316440,37.06872,12.304545
164,1871517441,23.371435,9.900896
165,1871517442,19.802307,8.561076
166,1871517443,22.258505,9.705825
167,1871517444,19.728672,9.568736
168,1871517445,27.919662,10.373412
169,1871517446,21.227844,9.055562
170,1871517447,25.709957,9.225366
171,1871517448,18.973,8.829085
172,1871517450,25.50975,9.003868
173,1871517451,25.677202,9.340402
174,1871517452,26.211554,10.377705
175,1871517453,33.9268,10.39539
176,1871517454,25.97371,9.736644
177,1871517455,23.641083,9.789488
178,1871517456,23.626598,10.390534
179,1871517457,22.83826,9.68733
180,1871517458,24.67107,10.759438
181,1871527554,20.313963,8.633833
182,1978562828,40.108566,13.713201
183,1988149961,21.56771,7.0861926
184,1988149962,18.325546,9.34514
185,1988149963,25.029173,9.46492
186,1988149964,22.978312,10.167124
187,1988149965,16.004427,7.2479753
188,1988149966,29.189903,10.006634
189,1988149967,20.676317,9.544952
190,1988149968,20.161331,8.644115
191,1988149969,20.526308,9.921368
192,1988150097,16.179354,7.175101
193,1988184273,21.982618,9.683192
194,1988184275,18.580395,8.555319
195,1988184276,19.166172,7.4258447
196,1988184277,19.639925,7.9313097
197,1988510402,16.495903,7.943343
198,1988510403,18.233744,8.382882
199,1989576154,20.6511,8.891851
200,1989576157,18.683266,9.42554
201,1989576158,23.264956,8.750453
202,1989576159,20.018024,9.326753
203,1989576160,20.98779,8.241909
204,1989576161,17.896492,7.384785
205,1989576164,23.317778,9.582207
206,1989576167,23.562176,10.394517
207,1990757975,20.564903,9.217114
208,1990758145,20.09974,8.941306
209,1990758232,19.335445,8.93817
210,1990758383,15.909159,7.2681794
211,1990758768,16.742786,7.9165244
212,1990775893,16.861137,8.630779
213,1990775966,18.34643,8.091458
214,1990776036,19.366627,7.670302
215,1990776075,17.212118,7.819165
216,1990776109,20.3969,8.937536
217,1990776182,18.033981,7.9270916
218,1990776188,16.782248,8.064055
219,1991034391,23.429,8.656317
220,1991034499,26.516357,8.446021
221,1991034520,17.622562,8.071032
222,1991034674,18.663803,7.5899673
223,1991805904,17.352766,7.549474
224,1991806167,16.551956,8.534057
225,1991806335,16.684351,8.756688
226,1991806364,18.062319,9.651722
227,1991806386,16.414553,9.025991
228,1991806407,17.464327,8.471096
229,1991806464,17.792427,9.31875
230,1991830009,20.040176,9.417119
231,1991830169,18.076183,8.957108
232,1991830279,17.884254,7.4666286
233,1992592911,16.33028,8.345976
234,1992593005,18.860956,8.316731
235,1992593137,18.661995,9.047036
236,1992593242,14.759194,7.6268597
237,1992593401,18.685272,8.342672
238,1992593480,20.677624,8.536458
239,1992593563,20.756062,8.51057
240,1993226167,14.397716,7.992232
241,1993226168,23.754148,8.189926
242,1993226169,14.177164,8.190974
243,1993226170,21.959345,7.1862245
244,1993226171,22.351072,7.9258947
245,1993226172,19.940138,9.07369
246,1993226173,19.73468,9.072496
247,1993226174,25.68759,9.68069
248,1993226342,20.789787,8.657031
249,1993226457,14.903351,7.232718
250,1994704388,18.358768,9.213288
251,1994704567,17.88899,8.797403
252,1994704585,18.47443,9.489239
253,1994704692,16.161139,8.420799
254,1994704812,16.166698,7.845968
255,1994704882,17.391043,8.354273
256,1994704948,20.71282,9.213839
257,1994704967,19.992125,8.792477
258,1996603873,18.77259,8.215455
259,1996603907,21.535782,9.02627
260,1996603956,21.698534,8.440431
261,1996603983,18.54898,8.766766
262,1996604057,21.098803,8.029924
263,1996604074,16.739325,8.186497
264,1996604112,17.08743,8.05604
265,1996604176,16.835974,8.427722
266,1996625988,17.084793,8.88349
267,1996625989,16.649347,8.557756
268,1996625990,27.352333,9.938004
269,1996625991,15.318967,7.4117894
270,1996625992,21.162529,9.233205
271,1996625993,20.84664,8.830426
