,OSMID,pred_mean_wi,pred_std_wi
0,27565056,65.15003,19.980495
1,314001434,50.715508,16.533274
2,314007819,50.879803,16.790342
3,320058940,36.15212,13.03152
4,320060481,42.394806,14.796061
5,320060535,30.42488,11.518644
6,320060540,26.575375,10.746902
7,372654613,48.48649,15.908921
8,379429217,24.625353,10.19711
9,379429231,28.792194,11.000766
10,379429232,24.60238,9.888278
11,379432193,43.38013,14.806782
12,379432200,40.05656,13.911503
13,379438219,31.127142,11.644742
14,379461222,25.453436,10.08352
15,379465165,33.887043,12.311618
16,379465997,31.347513,11.792678
17,379466001,22.61865,9.509528
18,379468135,30.052416,11.182975
19,384359233,51.15149,16.767958
20,391778904,59.16064,18.911558
21,401475643,33.92811,12.594371
22,401475785,52.262337,16.53373
23,401475827,54.685745,17.743628
24,401475881,39.87863,13.986008
25,401475894,37.998463,13.534139
26,401475917,40.016083,13.940552
27,401475936,27.762865,11.044108
28,401475961,43.982822,14.774732
29,401475981,29.899187,11.510074
30,401476003,26.113766,10.50059
31,401476039,27.230703,10.674137
32,401476063,27.497292,10.70864
33,401476125,30.401962,11.413323
34,401476172,33.621338,12.189604
35,401476437,64.451126,20.06841
36,403791252,54.508476,17.820549
37,403791273,56.95001,18.466164
38,403791274,59.249863,18.992899
39,403791342,61.666805,19.382383
40,412698522,28.776281,10.855732
41,428767364,41.464146,14.4814625
42,430172907,21.540619,9.428599
43,430173219,22.430622,9.645154
44,432772757,51.116196,16.703049
45,476746505,23.33209,10.269941
46,476753175,37.712437,13.500217
47,483854737,31.475996,11.548665
48,483854997,33.442776,12.108536
49,483855460,24.63482,9.852341
50,484029056,26.890352,10.337596
51,484029058,22.051445,9.943915
52,491409495,36.571842,13.062991
53,491411731,30.09124,11.665546
54,496344427,30.635757,11.556055
55,496349321,32.759125,12.336394
56,498808721,28.933592,11.572653
57,543446981,31.296827,11.721975
58,543446999,24.157515,9.997117
59,543447056,35.91625,12.774592
60,543447059,33.710682,12.461649
61,543458034,21.269737,9.391386
62,543458062,30.499535,11.831176
63,543458068,27.59203,10.881154
64,543458073,26.667559,10.697408
65,543549513,25.422724,10.513773
66,543549574,28.144012,11.247798
67,543568184,31.037142,11.725648
68,544374407,29.0534,11.383168
69,544375262,30.752325,11.431504
70,626927447,42.252125,14.771741
71,626927448,31.641485,11.809453
72,626927450,30.514507,11.766547
73,629093595,29.816301,11.80664
74,629093597,31.065239,11.654599
75,667923318,30.548277,11.585613
76,673759179,20.163864,9.199063
77,673768574,25.084942,10.111158
78,673773826,31.297157,11.5423975
79,679050235,22.491873,9.936978
80,679050236,20.415771,9.453787
81,685131784,37.468044,13.466915
82,685200253,45.40321,15.346946
83,690686234,28.459824,11.012019
84,707133739,20.782133,9.195491
85,799075295,28.642017,11.508137
86,799075343,22.001522,9.81984
87,799075492,30.061043,11.701329
88,799075562,25.702906,10.78873
89,799076145,21.400558,9.757029
90,799076334,27.574352,10.971701
91,818861249,17.043962,8.147567
92,820151507,29.700218,11.404223
93,828677245,19.243505,8.905737
94,856369610,30.89245,11.7870655
95,856378590,22.506561,9.881523
96,856378598,21.006565,9.384148
97,859709020,42.258793,14.3925
98,859710241,43.004692,14.630227
99,859775959,22.409567,9.694525
100,859911955,22.39301,9.874593
101,860044866,29.44647,11.718072
102,860831446,20.116135,9.401885
103,860831449,32.847534,12.364717
104,860831454,21.948563,9.70218
105,860831458,28.723059,11.357588
106,860831462,19.578577,9.256623
107,860831466,21.31352,9.702162
108,860831467,36.62435,13.234494
109,860831475,22.074993,9.802217
110,883383036,25.032671,10.100505
111,883384020,21.890186,9.561904
112,898951308,26.32966,10.914698
113,898951893,25.283848,10.478174
114,941199974,30.008303,11.626045
115,941200184,20.916649,9.50367
116,941200645,22.547665,9.857775
117,945132001,25.15449,10.986989
118,954899748,38.746563,13.451005
119,1361138689,33.84039,12.561024
120,1403100348,52.62505,17.282211
121,1548068496,19.918016,9.267657
122,1563390052,23.757435,9.90586
123,1610897138,46.65749,15.655817
124,1618595134,26.58897,10.803402
125,1620603490,26.828506,10.968126
126,1660921752,29.199427,11.181139
127,1660921755,34.172157,12.482526
128,1660921758,23.47139,10.302366
129,1660921768,24.78069,10.075031
130,1660921775,29.25267,11.525653
131,1660921778,19.995714,9.165833
132,1660977014,30.08536,11.782375
133,1660977015,25.219395,10.610705
134,1660977025,19.428997,9.107838
135,1660977029,31.192377,11.550016
136,1660977035,31.803228,11.982511
137,1848318165,48.753735,16.394735
138,1848488667,21.99262,9.846986
139,1851334786,28.03615,10.670369
140,1852103408,21.601162,9.760272
141,1852103496,26.919828,10.9381695
142,1852103727,25.965866,10.400032
143,1852453733,18.836195,8.935269
144,1853935061,21.878464,9.980833
145,1853935062,24.746006,10.620493
146,1853935063,21.376272,9.894461
147,1853935064,22.10241,9.859572
148,1855031034,25.394003,10.770925
149,1858283973,23.452135,10.131828
150,1858283974,26.200684,10.797243
151,1858283975,34.461933,12.707803
152,1858283976,23.966978,10.395506
153,1859348873,21.95239,9.326649
154,1861320078,30.156076,11.49698
