,OSMID,pred_mean_wi,pred_std_wi
0,21320912,78.40997,7.9493318
1,21320913,63.595978,7.7630353
2,21489671,89.60705,5.5066624
3,25470100,97.87359,5.5601015
4,25503669,86.16861,6.818136
5,25779128,78.7241,8.273245
6,25919858,88.76099,9.189614
7,25919859,77.97469,9.647605
8,25919861,77.67046,7.733407
9,25928779,77.084694,8.59533
10,25928780,59.79471,10.082893
11,25928781,84.398674,6.819342
12,25928788,81.45122,8.62093
13,25928791,76.998825,7.908178
14,25928793,74.49338,6.360517
15,25928794,83.322914,9.043779
16,25928795,80.53973,5.9734344
17,26031303,79.38871,5.518715
18,26031307,82.16973,6.65174
19,26031315,80.28571,6.0430775
20,26145819,77.95874,5.8218613
21,26155017,77.02354,6.6224723
22,26155591,64.50306,8.738332
23,26308367,66.0709,8.21975
24,26315072,77.91345,8.324326
25,26315073,66.352554,8.538746
26,26315074,72.48719,7.829725
27,26315075,74.48038,6.67993
28,26315076,71.72401,8.197077
29,26315078,72.499886,7.351943
30,26315375,79.9384,7.666524
31,26417322,82.57147,8.03691
32,26453407,88.245964,7.4007883
33,26458742,73.15279,8.203792
34,26552264,81.10208,7.602099
35,26659399,77.91407,8.1957855
36,26659401,71.22194,8.336274
37,26659403,70.82274,7.67185
38,26659404,82.519585,6.1602507
39,26659406,83.075554,7.1047535
40,26730447,67.476036,5.8855658
41,26760398,82.61201,5.63783
42,26761261,77.6855,5.355282
43,26761401,70.86213,10.662593
44,26761403,74.21279,7.832568
45,26761404,68.04192,9.094237
46,26884241,73.029076,8.55982
47,26924620,75.66554,8.93152
48,26925608,81.92297,5.8495407
49,26929294,78.54713,10.007737
50,26938845,106.630104,4.920642
51,26941822,72.82116,7.7012987
52,26963499,72.60254,5.1008043
53,27220546,64.656166,6.2950935
54,27564996,84.838875,8.241545
55,27565050,75.726616,11.026302
56,28385455,79.431046,5.333869
57,28385456,82.22574,4.469922
58,29162331,74.63599,7.2218075
59,29162384,83.76509,6.5755057
60,29162497,78.22931,9.3757515
61,29162527,73.93793,7.5414877
62,29385915,78.709496,8.702275
63,29386679,76.53666,12.113154
64,29386718,74.21048,9.08477
65,30211383,77.349754,8.593386
66,30211701,98.7307,7.8983293
67,30211844,91.548965,8.979374
68,30211883,76.14911,6.5823874
69,30225142,62.715565,11.428393
70,30225789,55.3322,13.226347
71,30229877,89.69755,7.735957
72,30230028,85.19833,7.6760445
73,30274173,54.785404,9.62619
74,30276744,69.346695,10.540303
75,30276747,78.03309,11.0341
76,30278688,73.31708,11.007502
77,30324159,66.60445,10.2771225
78,30391852,70.037636,7.926405
79,30391973,71.40711,9.550801
80,30670036,57.03158,11.512619
81,30670037,78.897095,7.4275646
82,30670038,84.73451,8.813167
83,30670039,75.16719,11.248255
84,31042349,59.418594,6.4778314
85,31104701,76.87392,6.7580905
86,31104702,86.15688,6.7717514
87,32524045,88.162155,4.7032337
88,32532113,74.9198,8.966046
89,32533237,88.82277,9.862319
90,32675806,86.318115,7.53785
91,33358796,82.06691,8.645771
92,33364951,76.32782,7.7421827
93,33364953,83.37772,9.986853
94,33442455,97.55897,7.489213
95,33698800,85.56338,7.015502
96,34975444,64.668945,8.467974
97,34981652,80.65802,9.911333
98,34984001,89.37924,6.8237696
99,35774037,82.458595,7.4395876
100,35960525,83.320145,8.384561
101,35966810,75.48462,8.671412
102,35966813,73.59613,8.123193
103,35966814,75.96743,10.036305
104,35967688,77.437004,8.373981
105,36231454,65.7338,8.837993
106,36231589,88.32199,8.317658
107,36241645,79.76834,6.5200515
108,36300762,69.12203,7.4112263
109,38412480,60.254375,10.196145
110,39577664,65.00231,9.290311
111,41547339,79.10734,8.456458
112,42204183,77.7384,9.1229315
113,42857564,68.80281,9.583036
114,46837481,79.618454,6.594727
115,46838156,82.0933,6.407918
116,46899414,71.9005,6.013139
117,48555419,82.98786,6.364478
118,48912418,69.614365,10.045092
119,50485644,83.40932,6.8112464
120,51745922,77.83125,6.2126455
121,51828236,88.02416,5.846356
122,52132483,75.583206,10.5757475
123,53672920,77.991936,8.514243
124,53982530,83.52885,8.051868
125,54337441,74.41045,8.885628
126,54354355,92.03764,7.597807
127,54670174,73.10475,7.5493593
128,55337040,68.8244,9.966006
129,56004503,75.94757,9.549169
130,56510772,74.79122,7.040884
131,59600497,83.9567,7.650419
132,59612914,80.44421,9.438497
133,59649286,70.63288,11.044069
134,59649319,53.971684,9.421448
135,59731951,83.03161,7.2055664
136,59732834,60.303967,8.068134
137,59842467,90.50857,8.252828
