,OSMID,pred_mean_wi,pred_std_wi
0,21320912,77.548996,8.760137
1,21320913,67.82877,11.545987
2,21489671,94.687546,5.8856764
3,25470100,94.35747,6.794681
4,25503669,87.96205,6.8244233
5,25779128,83.24854,7.4592876
6,25919858,99.83391,7.0123343
7,25919859,76.02224,8.448155
8,25919861,82.286995,6.0232034
9,25928779,82.069,7.975338
10,25928780,65.66997,13.228052
11,25928781,81.32326,6.9821405
12,25928788,87.14783,6.7614675
13,25928791,86.33317,7.8323736
14,25928793,71.30019,8.016462
15,25928794,83.75112,7.640696
16,25928795,86.143265,7.817163
17,26031303,85.40542,7.633961
18,26031307,78.31967,9.570935
19,26031315,79.98314,8.99508
20,26145819,82.26023,7.6391034
21,26155017,82.57191,7.6835604
22,26155591,75.65488,9.665311
23,26308367,67.63776,10.7913885
24,26315072,80.60333,7.7859755
25,26315073,74.482445,9.580927
26,26315074,76.393295,9.35711
27,26315075,80.159515,7.476852
28,26315076,75.808014,8.14774
29,26315078,75.65767,8.0366125
30,26315375,85.78623,7.8442984
31,26417322,85.09221,6.1691995
32,26453407,85.63903,7.7729387
33,26458742,79.001976,9.254909
34,26552264,79.84081,8.458676
35,26659399,78.450035,7.704728
36,26659401,76.86652,7.3895836
37,26659403,76.8517,8.46426
38,26659404,88.27974,6.0897975
39,26659406,89.773735,8.00675
40,26730447,69.189926,11.163516
41,26760398,80.828705,8.774625
42,26761261,77.89536,8.210577
43,26761401,76.76697,8.991129
44,26761403,78.9462,8.118361
45,26761404,80.53097,8.198044
46,26884241,75.73292,7.5002084
47,26924620,71.928055,7.5482345
48,26925608,88.83687,6.914142
49,26929294,75.42077,8.600852
50,26938845,98.01256,4.826866
51,26941822,80.95933,7.0385637
52,26963499,75.45078,8.816556
53,27220546,65.83833,10.025989
54,27564996,86.71447,8.670508
55,27565050,70.785,8.404089
56,28385455,77.81363,9.308681
57,28385456,89.13103,6.5994334
58,29162331,79.74425,6.510902
59,29162384,81.055885,7.532562
60,29162497,78.89729,8.564777
61,29162527,78.34876,8.318477
62,29385915,85.04293,6.829042
63,29386679,66.30364,11.256522
64,29386718,82.398445,6.7118745
65,30211383,80.22355,9.158068
66,30211701,104.22519,6.075914
67,30211844,92.04862,7.4711223
68,30211883,84.96329,8.180564
69,30225142,63.849155,11.770375
70,30225789,60.24777,14.380572
71,30229877,91.894264,6.982325
72,30230028,87.595406,8.984144
73,30274173,63.536263,12.0212755
74,30276744,70.77618,10.142158
75,30276747,76.58775,7.267139
76,30278688,76.82511,8.203212
77,30324159,72.68527,9.38713
78,30391852,81.82431,7.9514136
79,30391973,80.26439,9.015373
80,30670036,56.138203,11.694331
81,30670037,86.25967,7.3975067
82,30670038,88.64994,7.0668755
83,30670039,77.422554,8.943504
84,31042349,76.48387,9.097511
85,31104701,78.638336,7.1749706
86,31104702,85.64391,6.5124216
87,32524045,80.6995,8.19315
88,32532113,79.904755,9.782664
89,32533237,94.411385,7.359203
90,32675806,94.473335,6.2947235
91,33358796,83.62969,6.440954
92,33364951,92.75587,8.1595955
93,33364953,79.86251,7.7698703
94,33442455,99.335915,5.5016456
95,33698800,93.728455,6.3161874
96,34975444,64.01357,9.46696
97,34981652,78.5431,7.570943
98,34984001,92.01516,6.38324
99,35774037,88.10942,7.9706764
100,35960525,85.75422,5.7677245
101,35966810,79.7048,8.3732
102,35966813,80.99557,8.658713
103,35966814,71.43583,8.486577
104,35967688,80.118034,7.836866
105,36231454,74.03933,9.022996
106,36231589,92.94986,6.78503
107,36241645,86.24162,6.890713
108,36300762,70.18588,9.898877
109,38412480,64.03459,10.642442
110,39577664,66.58648,10.574755
111,41547339,74.91939,8.018856
112,42204183,80.95953,7.3696194
113,42857564,61.717457,9.449161
114,46837481,79.84821,7.5651317
115,46838156,80.62897,7.4128933
116,46899414,90.07597,7.086996
117,48555419,83.67162,5.329859
118,48912418,70.442085,8.4738455
119,50485644,87.61495,7.7577996
120,51745922,83.902664,7.3129582
121,51828236,89.28676,6.2543836
122,52132483,80.02865,9.535026
123,53672920,87.04967,7.6497912
124,53982530,78.14954,8.096438
125,54337441,72.6685,8.053115
126,54354355,90.811325,7.033566
127,54670174,74.91707,7.671237
128,55337040,73.03722,10.768704
129,56004503,79.076225,9.63514
130,56510772,84.31102,7.4023867
131,59600497,94.00039,6.6488795
132,59612914,84.35306,7.9457755
133,59649286,72.13948,9.373892
134,59649319,60.816246,11.09319
135,59731951,77.90705,7.797899
136,59732834,61.25329,11.572537
137,59842467,87.087166,6.4923077
138,59842580,82.723595,8.00703
139,59842736,73.245514,10.003793
140,59866631,86.383286,6.4432807
141,59953561,89.66651,7.519984
142,59953738,78.071396,7.961039
143,59965613,79.73059,8.077158
144,60032632,82.45523,7.454012
145,60034262,85.6255,7.0076156
146,60034814,77.2951,11.248317
147,60058799,92.348236,5.9726553
148,60059926,88.84119,5.5929837
149,60079617,87.05943,7.130105
150,60119102,95.25054,5.539502
151,60205098,84.17336,5.8160243
152,60656192,84.446556,7.5145936
153,60954374,78.815765,6.0978317
154,60954378,78.94615,7.3083773
155,62650354,76.72167,9.8769
156,63281372,68.91847,12.9055395
157,64499629,94.53028,7.809746
158,64517989,68.94954,9.853507
159,66135953,87.07428,6.96794
160,69230776,87.03124,6.7706637
161,70412286,73.66906,9.711803
162,70441862,73.73007,8.646986
163,71194563,87.497635,6.9403834
164,80834963,77.426765,8.076706
165,88929959,68.830826,9.419421
166,89865803,76.58052,9.246632
167,94784097,75.18417,9.264592
168,94823679,74.561455,8.266631
169,94825540,84.017624,7.5599146
170,94845554,76.6922,8.271339
171,94849758,73.36604,8.584323
172,94850165,81.46541,6.670445
173,95771891,78.33878,8.405366
174,95777668,66.699585,10.417204
175,95831525,83.308334,8.162306
176,124482342,86.36606,7.5485063
177,124504036,84.991295,8.229575
178,129944739,83.349304,7.113575
179,146350696,80.93621,8.429839
180,146351376,69.42045,9.817472
181,164758404,78.76484,7.052789
182,175479893,82.03024,8.413575
183,175489819,60.274967,14.148465
184,191645863,76.7279,7.1758575
185,193555229,82.09159,7.693262
186,206191732,62.681385,10.711073
187,206388012,85.43486,6.485296
188,207089401,76.98656,6.7335052
189,207672402,66.728,11.261966
190,207728823,87.20765,8.070758
191,220456263,81.88609,7.489067
192,228674366,69.03061,10.657495
193,235539324,83.501915,8.15867
194,235539362,82.22587,7.558086
195,235592282,74.86024,7.768287
196,235893930,72.72573,9.029393
197,240304843,83.629585,7.0674653
198,240366960,72.293,8.247665
199,240372382,92.66039,7.398666
200,243095728,75.63,8.896352
201,243179622,74.48839,8.825992
202,243186987,83.32217,8.773773
203,243197104,80.2279,7.9323316
204,243200508,92.92373,7.4031363
205,243200985,78.42296,7.6463537
206,243210244,73.47493,6.9862814
207,243287592,77.68803,7.4199786
208,243649338,77.06684,8.655561
209,243652300,77.607155,7.2260776
210,243783485,70.611115,10.418871
211,243836053,74.0793,8.011112
212,244310579,81.13386,8.542602
213,244310590,64.64205,9.11372
214,247744191,78.74967,8.852395
215,248179271,75.19733,8.3001375
216,250832348,79.80197,6.495835
217,252200946,76.96141,7.1469164
218,252437561,69.01792,10.059949
219,254352976,77.8421,8.621277
220,257714494,88.030876,8.04153
221,257947668,95.90144,5.9059305
222,259452927,89.2724,6.818379
223,260427643,65.3205,11.777059
224,261833893,98.49292,5.863575
225,262694479,59.01402,11.82297
226,262694484,80.82195,9.073964
227,262694502,70.000626,9.319144
228,262694506,79.14333,8.239713
229,262694532,87.03579,10.344677
230,262694550,57.02352,14.434688
231,262694625,54.856773,12.289128
232,262694672,66.02124,10.173333
233,262694682,72.34529,10.488162
234,262694693,78.29077,9.223001
235,262694717,74.92288,8.101366
236,262694722,77.704796,7.4049144
237,262694816,72.02188,12.058217
238,262694821,68.89124,9.535575
239,262694826,77.05997,8.159635
240,262694833,58.716915,11.948279
241,262694839,65.8622,10.051941
242,262694844,64.90207,9.829183
243,262694912,71.425095,11.139224
244,262694925,60.277046,12.381479
245,262694926,76.44241,9.994002
246,262694939,73.23005,8.960242
247,262694940,62.407284,11.337888
248,262694946,55.029915,11.766123
249,262694949,61.441586,11.567868
250,262694951,74.877205,7.806711
251,262694953,67.552246,11.192637
252,262694956,66.4883,9.357121
253,262694957,72.18298,11.163902
254,262694965,68.31621,9.611569
255,262695006,81.15232,7.052031
256,262695109,58.08827,11.497616
257,262695110,70.65856,8.710046
258,262695129,71.14181,10.19842
259,262695192,54.663868,12.201898
260,262695206,63.14527,10.262
261,262695207,59.122025,10.956392
262,262695213,80.07977,6.6076894
263,262695283,76.94178,9.660329
