,OSMID,pred_mean_wi,pred_std_wi
0,27565056,53.289265,14.147794
1,314001434,42.62562,13.022378
2,314007819,48.165264,15.30468
3,320058940,34.446354,10.541611
4,320060481,43.524582,13.589927
5,320060535,32.572613,10.462783
6,320060540,29.619598,10.667618
7,372654613,47.288376,13.563224
8,379429217,22.197113,9.000222
9,379429231,28.26157,8.887558
10,379429232,25.197948,9.180049
11,379432193,37.563618,11.776031
12,379432200,38.129864,12.493624
13,379438219,33.212162,11.248862
14,379461222,25.265917,9.36847
15,379465165,35.732204,10.791182
16,379465997,31.281116,10.9593
17,379466001,22.03505,9.180982
18,379468135,36.633633,11.4006815
19,384359233,53.094673,15.324377
20,391778904,54.126656,16.113169
21,401475643,32.009407,10.863028
22,401475785,47.47447,14.132018
23,401475827,49.11881,14.569222
24,401475881,44.287624,13.322202
25,401475894,40.536144,11.697396
26,401475917,40.519146,13.011125
27,401475936,31.029396,10.508062
28,401475961,44.5789,13.363073
29,401475981,31.643208,10.774756
30,401476003,25.536343,10.282975
31,401476039,27.702759,9.562928
32,401476063,28.503405,8.451175
33,401476125,30.672653,9.062116
34,401476172,28.900307,9.200371
35,401476437,54.57411,14.345979
36,403791252,50.015736,14.717608
37,403791273,53.34319,15.323388
38,403791274,50.539036,14.822621
39,403791342,52.151333,13.770188
40,412698522,24.474476,6.939118
41,428767364,42.608997,14.019843
42,430172907,20.971436,9.254699
43,430173219,22.370348,9.414296
44,432772757,45.10774,13.397253
45,476746505,26.584492,9.794002
46,476753175,40.126396,12.335325
47,483854737,33.48525,10.165138
48,483854997,32.257313,10.00615
49,483855460,29.420303,10.867554
50,484029056,24.800806,9.400181
51,484029058,19.435738,9.16637
52,491409495,37.68079,12.450633
53,491411731,27.411133,10.187625
54,496344427,32.94648,11.72959
55,496349321,36.64998,11.510479
56,498808721,27.4057,9.630669
57,543446981,30.701542,9.586293
58,543446999,21.997715,8.908246
59,543447056,33.40186,11.237753
60,543447059,31.029272,10.122625
61,543458034,23.171856,8.506017
62,543458062,31.205961,10.410685
63,543458068,29.32357,10.1758795
64,543458073,25.91872,8.961118
65,543549513,27.66079,10.6898985
66,543549574,32.42329,11.386993
67,543568184,33.071163,11.490869
68,544374407,33.71877,11.157668
69,544375262,29.581823,10.692863
70,626927447,47.026157,14.568574
71,626927448,31.08183,10.505534
72,626927450,31.318382,10.837951
73,629093595,31.684566,11.048068
74,629093597,36.12632,10.620705
75,667923318,29.185154,10.089002
76,673759179,21.169239,9.345687
77,673768574,26.588509,9.45645
78,673773826,26.569363,9.488908
79,679050235,19.731123,8.4164715
80,679050236,18.26172,8.454973
81,685131784,32.31999,10.947494
82,685200253,40.080868,11.605327
83,690686234,26.506323,9.407702
84,707133739,17.813099,7.4480014
85,799075295,24.744823,9.487406
86,799075343,21.484226,9.901803
87,799075492,31.538076,11.120419
88,799075562,27.364344,10.394321
89,799076145,19.244404,9.185808
90,799076334,27.267738,10.923592
91,818861249,17.069244,8.65051
