,OSMID,pred_mean_wi,pred_std_wi
0,27565056,38.443184,13.233362
1,314001434,46.731285,14.8403
2,314007819,44.306,14.788709
3,320058940,31.90451,11.652374
4,320060481,33.121532,11.734038
5,320060535,31.663263,11.783557
6,320060540,23.54545,10.529649
7,372654613,24.559793,10.134501
8,379429217,19.616419,9.092307
9,379429231,27.626375,10.6694355
10,379429232,22.091858,9.59937
11,379432193,27.51203,10.815126
12,379432200,34.792747,12.445159
13,379438219,32.304447,11.925364
14,379461222,26.335224,8.558297
15,379465165,29.615488,11.900529
16,379465997,30.197332,10.76624
17,379466001,19.940306,8.700032
18,379468135,30.156567,10.28338
19,384359233,27.807337,10.565934
20,391778904,44.07187,14.4300375
21,401475643,20.188208,8.485295
22,401475785,29.535158,10.808101
23,401475827,49.330048,15.507782
24,401475881,26.112904,10.929841
25,401475894,22.32559,10.546287
26,401475917,22.83521,10.503491
27,401475936,25.038862,10.669836
28,401475961,33.272095,11.939942
29,401475981,21.128408,9.1843605
30,401476003,20.540758,9.943162
31,401476039,23.627539,9.70306
32,401476063,21.112505,8.28464
33,401476125,22.829435,8.987369
34,401476172,27.559204,10.022893
35,401476437,41.362564,12.498462
36,403791252,30.091455,11.745349
37,403791273,42.84445,14.927728
38,403791274,50.843266,14.778991
39,403791342,42.147522,12.782955
40,412698522,20.68011,6.7968545
41,428767364,21.925016,9.166011
42,430172907,17.198143,8.222279
43,430173219,14.9801855,7.931958
44,432772757,32.061623,11.602977
45,476746505,20.00836,8.990893
46,476753175,26.186913,11.310875
47,483854737,26.489508,10.153218
48,483854997,24.19242,10.357066
49,483855460,21.57588,10.184154
50,484029056,20.699772,9.731954
51,484029058,18.8237,9.49182
52,491409495,23.826591,10.509223
53,491411731,29.633934,11.111932
54,496344427,26.135134,11.259211
55,496349321,33.89353,13.352912
56,498808721,17.57945,9.569772
57,543446981,24.675955,9.836756
58,543446999,21.745434,9.60813
59,543447056,27.469255,10.043937
60,543447059,28.305962,10.274784
61,543458034,25.947771,10.456881
62,543458062,28.593756,10.664294
63,543458068,26.408049,10.813901
64,543458073,27.81056,10.393363
65,543549513,29.848833,11.64051
66,543549574,34.444473,12.88784
67,543568184,32.181206,10.7913065
68,544374407,31.565355,12.013322
69,544375262,19.89648,8.480793
70,626927447,37.741295,14.135383
71,626927448,22.222458,9.068914
72,626927450,25.359797,10.78175
73,629093595,36.220066,13.316972
74,629093597,31.550158,11.943226
75,667923318,24.098436,10.743601
76,673759179,18.522484,8.717433
77,673768574,21.319408,7.9055405
78,673773826,24.913382,9.539469
79,679050235,17.454823,8.772015
80,679050236,18.024235,9.465116
81,685131784,30.921621,10.5249815
82,685200253,31.642756,10.198887
83,690686234,25.005104,9.060096
84,707133739,26.4719,11.356025
85,799075295,18.504124,9.13004
86,799075343,15.255773,8.310615
87,799075492,27.972212,10.099355
88,799075562,20.26974,9.741576
89,799076145,17.804699,8.812555
90,799076334,19.946066,9.500604
91,818861249,12.389963,7.836953
92,820151507,29.496683,10.732484
93,828677245,16.29854,7.7773027
94,856369610,24.12705,10.763686
95,856378590,18.242672,8.239103
96,856378598,21.59534,9.948236
97,859709020,37.27171,12.690107
98,859710241,31.756987,12.87335
99,859775959,16.71078,9.05936
100,859911955,16.136572,8.06103
101,860044866,24.780697,9.915352
102,860831446,24.667826,11.545304
103,860831449,28.594484,10.581403
104,860831454,19.089565,9.708014
105,860831458,34.36664,11.728753
106,860831462,24.01018,10.650067
107,860831466,23.43582,10.492518
108,860831467,33.550743,12.841717
109,860831475,22.335323,10.034169
110,883383036,20.211039,9.262615
111,883384020,20.401312,9.422737
112,898951308,29.318825,11.613797
113,898951893,25.10504,10.333297
114,941199974,25.059313,10.398316
