,OSMID,pred_mean_wi,pred_std_wi
0,104352188,19.985008,12.392572
1,206934045,13.9143505,10.516158
2,228783245,27.067635,11.999658
3,256588128,53.090454,17.057465
4,281721577,21.765778,10.949137
5,292850758,49.392647,15.368975
6,292850768,44.57592,15.114954
7,292850769,43.349327,12.826596
8,292850770,46.698498,12.643638
9,292850772,44.157936,13.941594
10,292850782,49.734882,15.543839
11,293901231,42.936203,16.40509
12,293918338,37.29783,13.96311
13,293918610,29.387934,12.618495
14,294001750,27.429832,12.715321
15,294001753,21.199308,11.983403
16,294001782,23.134912,11.636519
17,294001832,29.144829,13.613727
18,294001833,23.716095,11.711254
19,294001834,35.20187,13.824796
20,294001837,38.01058,13.342535
21,294001845,53.67787,18.331549
22,294026548,54.105354,14.708913
23,302685419,28.62673,15.184274
24,302688753,28.294044,13.680896
25,304491931,45.69112,14.874911
26,304816313,45.96267,15.655356
27,304818146,24.413277,13.258899
28,305374567,43.116066,14.999969
29,305377332,47.79595,16.087763
30,305385710,28.599785,14.899713
31,307411371,17.96022,10.2966385
32,309083090,60.984035,18.266705
33,311726473,24.742634,12.989359
34,311726804,26.516216,10.446532
35,311727206,37.18891,14.389258
36,311727613,21.005707,13.798301
37,311730609,29.931332,14.91774
38,311730669,32.634308,12.642421
39,311731080,19.925175,10.954667
40,311731779,31.941214,14.470389
41,311733100,27.9245,10.533894
42,311733117,27.572445,13.810515
43,311733271,47.551704,14.209257
44,311733902,54.380127,17.131859
45,311734768,34.93642,14.557403
46,311736035,28.521397,12.58051
47,311736627,17.83434,9.400712
48,311737042,34.96501,10.480792
49,311737373,18.512703,8.552596
50,311747244,30.507858,14.052331
51,311748711,42.977837,14.658911
52,435339521,20.114304,11.152278
53,435662822,43.748753,17.70523
54,435909889,51.97808,17.010977
55,538026580,44.252068,15.377313
56,538026582,36.59164,16.366104
57,538034344,31.43739,13.511055
58,539501135,25.807219,11.032258
59,542507997,27.205158,12.358809
60,542570639,32.25902,13.954557
61,542570642,25.374628,12.768537
