,OSMID,pred_mean_wi,pred_std_wi
0,104352188,17.620644,10.9934
1,206934045,11.580546,8.262034
2,228783245,23.210064,11.51612
3,256588128,48.45322,16.086056
4,281721577,20.013472,10.755755
5,292850758,48.38638,15.249883
6,292850768,45.125324,14.183196
7,292850769,40.684383,12.399197
8,292850770,51.854233,13.939342
9,292850772,45.988346,12.638626
10,292850782,53.345238,14.780232
11,293901231,38.811638,14.2029
12,293918338,36.763165,12.696101
13,293918610,23.53582,11.82418
14,294001750,20.933062,10.77939
15,294001753,17.064547,10.250663
16,294001782,22.297386,10.664028
17,294001832,29.195354,13.303897
18,294001833,20.279297,10.353227
19,294001834,30.427761,13.428668
20,294001837,39.412296,12.861329
21,294001845,50.048653,16.701208
22,294026548,57.371326,15.214758
23,302685419,25.652567,12.916618
24,302688753,23.128428,12.159151
25,304491931,40.30641,12.671338
26,304816313,49.82881,15.804946
27,304818146,19.428452,10.927007
28,305374567,44.419575,15.598374
29,305377332,47.950542,14.242641
30,305385710,27.589283,12.703242
31,307411371,18.234638,10.912782
32,309083090,47.327213,14.931043
33,311726473,18.869186,10.742158
34,311726804,23.738747,10.687445
35,311727206,32.85383,13.725536
36,311727613,19.28252,10.839456
37,311730609,27.425055,13.654653
38,311730669,30.900158,12.972703
39,311731080,17.087944,10.354263
40,311731779,28.79264,12.497569
41,311733100,26.296677,10.975427
42,311733117,26.355701,12.829213
43,311733271,44.388477,13.049254
44,311733902,48.170986,14.792367
45,311734768,28.687016,12.289971
46,311736035,25.212519,11.620958
47,311736627,17.550821,9.85474
48,311737042,29.080372,10.281281
49,311737373,16.286026,9.640758
50,311747244,25.66113,11.570191
51,311748711,46.394764,14.631469
52,435339521,21.026348,11.965486
53,435662822,31.937881,14.4994
54,435909889,40.340305,14.686142
55,538026580,42.531273,14.690958
56,538026582,30.13723,14.17843
57,538034344,24.909744,11.653493
58,539501135,20.368963,11.208591
59,542507997,20.84145,10.941886
60,542570639,23.813656,11.584821
61,542570642,21.931633,11.869962
62,542570647,23.392845,12.053999
63,560557033,28.921745,13.270163
64,562642523,26.89033,13.319707
65,562642532,21.580212,11.957387
66,562642536,23.07063,11.552966
67,562642552,44.16661,14.204164
68,562642560,25.730007,11.757302
69,562728993,25.563883,13.559487
70,566494094,51.952282,15.376557
