,country,configuration,nrmse_mean,nrmse_std,nrmse_mean_wi_mean,nrmse_mean_wi_std,nrmse_std_wi_mean,nrmse_std_wi_std,kind
2,Sierra Leone,N-N,0.65,0.02,0.52,0.04,0.78,0.03,recency
5,Sierra Leone,ON,0.69,0.02,0.52,0.03,0.86,0.03,recency
4,Sierra Leone,O-N,0.75,0.02,0.62,0.01,0.88,0.03,recency
0,Sierra Leone,O-O,0.76,0.08,0.62,0.04,0.91,0.15,recency
6,Uganda,O-O,0.69,0.04,0.54,0.04,0.85,0.06,recency
11,Uganda,ON,0.71,0.02,0.53,0.02,0.88,0.03,recency
10,Uganda,O-N,0.78,0.01,0.6,0.01,0.97,0.02,recency
8,Uganda,N-N,0.79,0.09,0.6,0.06,0.98,0.14,recency
1,Sierra Leone,rc,0.67,0.02,0.51,0.02,0.83,0.02,relocation
0,Sierra Leone,none,0.69,0.02,0.52,0.03,0.86,0.03,relocation
2,Sierra Leone,ruc,0.69,0.03,0.51,0.03,0.86,0.05,relocation
3,Uganda,none,0.71,0.02,0.53,0.02,0.88,0.03,relocation
5,Uganda,ruc,0.71,0.03,0.55,0.03,0.86,0.04,relocation
4,Uganda,rc,0.73,0.03,0.55,0.02,0.9,0.06,relocation
0,Sierra Leone,no,0.74,0.02,0.57,0.04,0.9,0.03,augmented
1,Sierra Leone,yes,0.76,0.01,0.59,0.06,0.94,0.07,augmented
3,Uganda,yes,0.75,0.03,0.59,0.03,0.91,0.02,augmented
2,Uganda,no,0.77,0.01,0.6,0.02,0.94,0.04,augmented
1,Sierra Leone,yes,0.61,0.03,0.44,0.03,0.78,0.04,weighted
0,Sierra Leone,no,0.64,0.02,0.46,0.03,0.81,0.03,weighted
2,Uganda,no,0.65,0.03,0.46,0.03,0.83,0.03,weighted
3,Uganda,yes,0.66,0.05,0.47,0.05,0.85,0.05,weighted
