,OSMID,pred_mean_wi,pred_std_wi
0,27565056,58.981907,13.936123
1,314001434,50.890327,13.958144
2,314007819,51.477097,14.780341
3,320058940,33.746258,11.710095
4,320060481,39.483654,11.916799
5,320060535,35.761936,11.717317
6,320060540,28.784077,11.215066
7,372654613,44.45714,12.84822
8,379429217,25.657333,8.418164
9,379429231,32.9076,10.174129
10,379429232,30.482742,9.9752
11,379432193,47.146347,12.782637
12,379432200,36.985207,11.981289
13,379438219,37.75306,10.926543
14,379461222,29.61266,9.199735
15,379465165,35.461918,11.303332
16,379465997,34.321663,11.145653
17,379466001,24.931118,9.111339
18,379468135,35.001442,9.959215
19,384359233,53.15271,13.808526
20,391778904,57.724915,15.444912
21,401475643,35.665386,11.362327
22,401475785,50.96437,13.583616
23,401475827,54.188034,14.960599
24,401475881,38.50074,11.741324
25,401475894,39.116226,12.077886
26,401475917,42.568714,13.040968
27,401475936,26.7821,11.39557
28,401475961,43.40863,12.234828
29,401475981,31.714365,9.895317
30,401476003,25.065922,9.268357
31,401476039,32.34626,10.537673
32,401476063,29.015125,10.176461
33,401476125,33.100285,9.737378
34,401476172,31.75262,9.158307
35,401476437,58.892353,15.004845
36,403791252,51.226788,14.987582
37,403791273,53.795406,16.033516
38,403791274,58.21481,15.498766
39,403791342,58.80159,15.83123
40,412698522,25.351263,6.507118
41,428767364,37.02599,12.136926
42,430172907,24.608967,8.670125
43,430173219,25.50404,8.66594
44,432772757,42.53262,11.468329
45,476746505,25.405787,9.714134
46,476753175,37.94871,11.251701
47,483854737,34.998535,10.726518
48,483854997,35.74904,11.6525135
49,483855460,33.053493,12.360269
50,484029056,31.412922,10.216464
51,484029058,23.610855,10.312102
52,491409495,41.328537,12.916005
53,491411731,32.885574,12.543269
54,496344427,34.64139,11.059972
55,496349321,37.63439,12.449683
56,498808721,33.365818,11.254815
57,543446981,31.04721,11.338556
58,543446999,25.593714,10.359006
59,543447056,38.30753,11.952754
60,543447059,33.121185,10.943062
61,543458034,21.927292,8.954564
62,543458062,27.184427,10.545978
63,543458068,32.191196,11.380291
64,543458073,32.569687,10.189782
65,543549513,26.271513,9.304353
66,543549574,31.283173,12.383411
67,543568184,43.83005,12.362239
68,544374407,30.770597,11.117641
69,544375262,32.33496,9.9362
70,626927447,44.91208,14.439149
71,626927448,33.131096,10.484124
72,626927450,30.91219,9.981418
73,629093595,27.656313,10.866567
74,629093597,38.496815,12.054124
75,667923318,29.954235,10.307933
76,673759179,19.13726,9.082585
77,673768574,30.890223,9.809434
78,673773826,28.911848,9.404254
79,679050235,24.464085,10.662921
80,679050236,24.11978,9.509528
81,685131784,35.86296,12.221366
82,685200253,37.3507,11.317586
83,690686234,32.332256,9.643632
84,707133739,24.708534,10.875434
85,799075295,27.332691,10.161453
86,799075343,21.929989,9.276784
87,799075492,38.52831,11.998124
88,799075562,25.594158,10.58375
89,799076145,25.47519,9.96035
90,799076334,26.556068,10.46762
91,818861249,20.862387,8.499063
92,820151507,36.365517,11.755736
93,828677245,21.957005,9.157487
94,856369610,36.636887,12.3769455
95,856378590,24.400406,8.63372
96,856378598,21.03439,8.415315
97,859709020,48.601234,13.522233
98,859710241,46.648163,13.88885
99,859775959,27.253227,10.763036
100,859911955,23.410305,10.104833
101,860044866,34.28753,10.634099
102,860831446,21.7746,9.491626
103,860831449,33.617004,10.665965
104,860831454,24.809887,10.46745
105,860831458,33.567955,11.00316
106,860831462,24.231249,10.366358
107,860831466,26.394299,10.510743
108,860831467,37.30813,10.787885
109,860831475,22.363781,10.051452
110,883383036,25.160269,10.458927
111,883384020,21.19295,9.3442335
112,898951308,29.909794,11.513117
113,898951893,28.47065,10.798247
114,941199974,30.671085,11.03972
115,941200184,24.1256,9.508109
116,941200645,25.355717,10.332856
117,945132001,25.18628,9.66676
118,954899748,41.66113,12.863582
119,1361138689,35.930958,9.682982
120,1403100348,58.863503,14.859839
121,1548068496,21.755901,9.630502
122,1563390052,25.916111,8.974857
123,1610897138,38.11544,12.297477
124,1618595134,27.5948,9.1555605
125,1620603490,27.275896,10.205394
126,1660921752,27.660894,10.178683
127,1660921755,36.08036,11.4105425
128,1660921758,25.530746,10.857459
129,1660921768,24.417576,10.024098
130,1660921775,35.050957,12.048135
131,1660921778,20.926138,7.5985823
132,1660977014,31.364445,11.440789
133,1660977015,25.36196,10.6876955
134,1660977025,18.290564,9.466401
135,1660977029,36.185616,11.015537
136,1660977035,34.371433,9.38122
137,1848318165,53.404205,13.510241
138,1848488667,21.852713,9.143588
139,1851334786,29.851126,9.240134
140,1852103408,22.048883,9.106594
141,1852103496,28.98377,10.512963
142,1852103727,29.858526,9.983018
143,1852453733,16.82196,8.650929
144,1853935061,22.42907,10.140861
145,1853935062,22.888302,9.807063
146,1853935063,23.439999,10.345064
147,1853935064,24.109587,9.396198
148,1855031034,28.49993,11.615046
149,1858283973,23.164436,8.876892
150,1858283974,29.95313,11.202563
151,1858283975,35.86538,11.666231
152,1858283976,22.040142,8.988454
153,1859348873,31.44746,11.698822
154,1861320078,31.624834,10.485049
155,1861320080,32.06766,11.693595
156,1871034823,26.083403,11.700347
157,1871034824,33.338306,11.858352
158,1871061345,44.070057,13.863549
159,1871102703,40.618927,11.873717
160,1871271781,25.986778,10.493451
161,1871302010,24.94799,10.49109
162,1871302012,26.60273,11.45955
163,1871316440,39.437622,12.695489
164,1871517441,21.008337,8.790294
165,1871517442,20.978878,9.892203
166,1871517443,24.165638,10.35031
167,1871517444,21.589079,8.373342
168,1871517445,33.151962,12.46218
169,1871517446,24.24246,9.905176
170,1871517447,24.694286,8.701585
171,1871517448,21.681854,7.947072
172,1871517450,25.020176,10.646276
173,1871517451,27.687845,8.740003
174,1871517452,27.395945,11.618734
175,1871517453,34.053734,11.764167
176,1871517454,27.08827,10.92344
177,1871517455,21.256504,9.5886755
178,1871517456,26.349964,11.4851265
179,1871517457,24.547867,8.99235
180,1871517458,19.930151,8.2158785
181,1871527554,22.76109,10.108983
182,1978562828,45.42502,13.598717
183,1988149961,29.421741,8.007388
184,1988149962,22.831335,10.385914
185,1988149963,31.030825,10.087845
186,1988149964,29.7987,10.950833
187,1988149965,21.291725,9.000684
188,1988149966,31.30679,9.308932
189,1988149967,20.879406,9.335332
190,1988149968,26.299288,11.216469
191,1988149969,24.311947,10.377573
192,1988150097,20.515854,9.004278
193,1988184273,26.658257,10.06956
194,1988184275,23.46072,9.924481
195,1988184276,24.750265,8.985848
196,1988184277,23.284357,10.100472
197,1988510402,22.631416,10.440021
198,1988510403,16.923998,9.396039
199,1989576154,26.316418,10.998544
200,1989576157,18.416275,9.761201
201,1989576158,29.270708,10.976432
202,1989576159,23.089563,10.397592
203,1989576160,24.249495,9.640689
204,1989576161,21.89854,9.614654
205,1989576164,25.940914,10.102912
206,1989576167,30.437477,12.549856
207,1990757975,24.698792,8.853928
208,1990758145,19.401459,9.512176
209,1990758232,21.360168,10.492469
210,1990758383,17.951435,9.495062
211,1990758768,20.509872,9.783782
212,1990775893,20.231876,9.305286
213,1990775966,23.796997,10.23177
214,1990776036,21.243046,8.69321
215,1990776075,21.170567,9.112939
216,1990776109,25.299608,9.351867
217,1990776182,21.141014,7.4561405
218,1990776188,17.720266,7.840663
219,1991034391,26.091145,8.331064
220,1991034499,31.443024,8.699615
221,1991034520,21.493656,9.991625
222,1991034674,22.840483,8.647451
223,1991805904,20.797756,8.17281
224,1991806167,21.953928,8.798114
225,1991806335,15.878396,9.698186
226,1991806364,18.62271,10.043843
227,1991806386,20.503113,10.4712515
228,1991806407,20.97605,9.359582
229,1991806464,21.738209,9.6718445
230,1991830009,20.66463,9.988027
231,1991830169,20.975021,9.887045
232,1991830279,19.976692,9.470513
233,1992592911,19.915943,9.30514
234,1992593005,25.346453,9.850259
