,OSMID,pred_mean_wi,pred_std_wi
0,27565056,65.15418,19.98145
1,314001434,50.72021,16.534613
2,314007819,50.884426,16.791536
3,320058940,36.154728,13.032111
4,320060481,42.397438,14.796754
5,320060535,30.427355,11.519303
6,320060540,26.577377,10.747482
7,372654613,48.49015,15.910094
8,379429217,24.62729,10.197825
9,379429231,28.793335,11.001058
10,379429232,24.603981,9.888722
11,379432193,43.382908,14.807439
12,379432200,40.059944,13.912461
13,379438219,31.130013,11.645649
14,379461222,25.454876,10.084014
15,379465165,33.89048,12.312303
16,379465997,31.348658,11.793053
17,379466001,22.61978,9.509967
18,379468135,30.053455,11.183221
19,384359233,51.156338,16.768963
20,391778904,59.166416,18.91309
21,401475643,33.931732,12.595398
22,401475785,52.26628,16.534355
23,401475827,54.69093,17.744741
24,401475881,39.88267,13.987153
25,401475894,38.00112,13.53491
26,401475917,40.01929,13.9410925
27,401475936,27.765238,11.044548
28,401475961,43.986774,14.775738
29,401475981,29.901875,11.510839
30,401476003,26.115107,10.50077
31,401476039,27.232748,10.675084
32,401476063,27.499624,10.709172
33,401476125,30.404835,11.414177
34,401476172,33.624336,12.190228
35,401476437,64.45602,20.069344
36,403791252,54.512608,17.821682
37,403791273,56.954163,18.467133
38,403791274,59.25427,18.993647
39,403791342,61.67043,19.382868
40,412698522,28.777786,10.856195
41,428767364,41.467453,14.482121
42,430172907,21.541641,9.428765
43,430173219,22.432863,9.645937
44,432772757,51.11822,16.703558
45,476746505,23.333498,10.270358
46,476753175,37.715443,13.501005
47,483854737,31.478235,11.54942
48,483854997,33.444,12.108766
49,483855460,24.637009,9.852887
50,484029056,26.892029,10.338122
51,484029058,22.052765,9.944463
52,491409495,36.57453,13.063828
53,491411731,30.093065,11.666133
54,496344427,30.637552,11.556567
55,496349321,32.762703,12.337331
56,498808721,28.937725,11.574271
57,543446981,31.301062,11.723227
58,543446999,24.16043,9.998521
59,543447056,35.917553,12.7746935
60,543447059,33.71246,12.462199
61,543458034,21.270962,9.39199
62,543458062,30.500662,11.83157
63,543458068,27.59474,10.881984
64,543458073,26.669106,10.697604
65,543549513,25.42436,10.514312
66,543549574,28.147034,11.249043
67,543568184,31.039532,11.726295
68,544374407,29.055433,11.383861
69,544375262,30.752361,11.43117
70,626927447,42.25739,14.772929
71,626927448,31.643671,11.809708
72,626927450,30.517458,11.767611
73,629093595,29.818462,11.807232
74,629093597,31.068933,11.65568
75,667923318,30.551342,11.58652
76,673759179,20.166166,9.200046
77,673768574,25.08581,10.11132
78,673773826,31.298595,11.542649
79,679050235,22.493977,9.937741
80,679050236,20.41735,9.4545145
81,685131784,37.47024,13.467293
82,685200253,45.40691,15.347621
83,690686234,28.461664,11.012674
84,707133739,20.783535,9.195867
85,799075295,28.645144,11.50913
86,799075343,22.003239,9.82039
87,799075492,30.063112,11.702144
88,799075562,25.704777,10.789353
89,799076145,21.401579,9.757325
90,799076334,27.575823,10.972209
91,818861249,17.045547,8.147944
92,820151507,29.702797,11.405178
93,828677245,19.245571,8.906489
94,856369610,30.895048,11.787841
95,856378590,22.508896,9.882296
96,856378598,21.008074,9.384721
97,859709020,42.26227,14.392997
98,859710241,43.00678,14.630704
99,859775959,22.411646,9.695139
100,859911955,22.394684,9.875003
101,860044866,29.448202,11.718687
102,860831446,20.117498,9.402357
103,860831449,32.84962,12.365176
104,860831454,21.950493,9.702874
105,860831458,28.724277,11.357823
106,860831462,19.579782,9.256913
107,860831466,21.314436,9.702573
108,860831467,36.625713,13.234264
109,860831475,22.076557,9.802747
110,883383036,25.034807,10.101152
111,883384020,21.891516,9.562371
112,898951308,26.331047,10.915034
113,898951893,25.285755,10.478875
114,941199974,30.01039,11.626706
115,941200184,20.917402,9.503842
116,941200645,22.549284,9.858285
117,945132001,25.156506,10.987506
118,954899748,38.750256,13.452001
119,1361138689,33.84271,12.562034
120,1403100348,52.62971,17.283342
121,1548068496,19.920603,9.268669
122,1563390052,23.75956,9.90659
123,1610897138,46.6623,15.657165
124,1618595134,26.591455,10.804055
125,1620603490,26.830177,10.968436
126,1660921752,29.20162,11.181769
127,1660921755,34.17377,12.483041
128,1660921758,23.473585,10.303088
129,1660921768,24.7825,10.075529
130,1660921775,29.254433,11.526178
131,1660921778,19.996502,9.16619
132,1660977014,30.088434,11.783581
133,1660977015,25.221117,10.611237
134,1660977025,19.431036,9.108853
135,1660977029,31.19428,11.550435
136,1660977035,31.80549,11.983296
137,1848318165,48.75741,16.395094
138,1848488667,21.994818,9.847835
139,1851334786,28.038206,10.671182
140,1852103408,21.602358,9.760592
141,1852103496,26.922049,10.938766
142,1852103727,25.967516,10.400481
143,1852453733,18.838846,8.936369
144,1853935061,21.880398,9.981517
145,1853935062,24.748257,10.6210785
146,1853935063,21.377796,9.894887
147,1853935064,22.104292,9.860237
148,1855031034,25.396465,10.771889
