,country,configuration,rmse_mean,rmse_std,rmse_mean_wi_mean,rmse_mean_wi_std,rmse_std_wi_mean,rmse_std_wi_std,kind
5,Sierra Leone,ON,5.56,0.26,8.14,0.53,2.98,0.12,recency
2,Sierra Leone,N-N,5.63,0.3,8.32,0.61,2.94,0.16,recency
0,Sierra Leone,O-O,6.37,0.4,9.65,0.55,3.08,0.47,recency
4,Sierra Leone,O-N,6.44,0.12,9.76,0.14,3.11,0.12,recency
11,Uganda,ON,5.63,0.22,8.22,0.41,3.05,0.1,recency
10,Uganda,O-N,5.77,0.06,8.36,0.12,3.19,0.06,recency
6,Uganda,O-O,5.86,0.33,8.67,0.55,3.06,0.15,recency
8,Uganda,N-N,5.96,0.59,8.47,0.76,3.45,0.44,recency
1,Sierra Leone,rc,5.49,0.2,8.1,0.33,2.88,0.1,relocation
2,Sierra Leone,ruc,5.54,0.3,8.09,0.46,3.0,0.16,relocation
0,Sierra Leone,none,5.56,0.26,8.14,0.53,2.98,0.12,relocation
3,Uganda,none,5.63,0.22,8.22,0.41,3.05,0.1,relocation
5,Uganda,ruc,5.72,0.3,8.46,0.48,2.99,0.15,relocation
4,Uganda,rc,5.81,0.22,8.51,0.41,3.12,0.18,relocation
0,Sierra Leone,no,6.07,0.27,9.0,0.57,3.14,0.14,augmented
1,Sierra Leone,yes,6.32,0.36,9.38,0.96,3.26,0.24,augmented
3,Uganda,yes,6.17,0.32,9.19,0.51,3.16,0.14,augmented
2,Uganda,no,6.25,0.15,9.26,0.37,3.23,0.07,augmented
1,Sierra Leone,yes,4.81,0.25,6.91,0.42,2.71,0.14,weighted
0,Sierra Leone,no,5.06,0.24,7.28,0.49,2.83,0.09,weighted
2,Uganda,no,5.02,0.29,7.17,0.46,2.87,0.13,weighted
3,Uganda,yes,5.12,0.53,7.31,0.87,2.93,0.21,weighted
