,gt_config,relocation,recency,weighted,augmented,features,epoch,rs,model,fn,r2,r2_mean_wi,r2_std_wi,rmse,rmse_mean_wi,rmse_std_wi,nrmse,nrmse_mean_wi,nrmse_std_wi,mse,mse_mean_wi,mse_std_wi,country
0,MIS2016_all_none,none,O-O,no,no,metadata,1,948692398,CB,MIS2016_all_none/epoch1-rs948692398/xgb-all/test_pred_xgb.csv,0.4134893676725033,0.7849733563038386,0.04200537904116808,5.162925331255654,7.18041051418521,3.145440148326097,0.7162146957622837,0.4604781889880505,0.9719512025365169,30.72604443946161,51.55829515222152,9.893793726701698,Sierra Leone
1,MIS2016_all_none,none,O-O,no,no,metadata,2,115620402,CB,MIS2016_all_none/epoch2-rs115620402/xgb-all/test_pred_xgb.csv,0.5799200675919028,0.7683584545839547,0.391481680599851,4.997985786590476,7.477829058002523,2.518142515178429,0.6262886286491833,0.47793755003108035,0.7746397072672863,31.12948457372802,55.917927420706896,6.341041726749144,Sierra Leone
2,MIS2016_all_none,none,O-O,no,no,metadata,3,3150836763,CB,MIS2016_all_none/epoch3-rs3150836763/xgb-all/test_pred_xgb.csv,0.5253753129660613,0.7894538069547388,0.2612968189773839,5.149633949816507,7.158462691393772,3.1408052082392417,0.6545722359825106,0.45565550623697837,0.8534889657280428,30.554122730089656,51.243588104076565,9.864657356102747,Sierra Leone
3,MIS2016_all300_none,none,O300,no,no,metadata,1,618071224,CB,MIS2016_all300_none/epoch1-rs618071224/xgb-all/test_pred_xgb.csv,0.6228309184837162,0.803404111324939,0.44225772564249344,4.618039386447516,6.7739829097903455,2.4620958631046865,0.5905109134166082,0.4399674266824745,0.7410544001507419,25.974380250624442,45.88684446213167,6.061916039117211,Sierra Leone
4,MIS2016_all300_none,none,O300,no,no,metadata,2,140365024,CB,MIS2016_all300_none/epoch2-rs140365024/xgb-all/test_pred_xgb.csv,0.5852481048025995,0.7717994928930858,0.39869671671211326,5.110567846659819,7.554370129316587,2.6667655640030503,0.6217319689070567,0.47401448297968707,0.7694494548344264,32.090073312031606,57.06850805071071,7.111638573352508,Sierra Leone
5,MIS2016_all300_none,none,O300,no,no,metadata,3,1635409439,CB,MIS2016_all300_none/epoch3-rs1635409439/xgb-all/test_pred_xgb.csv,0.653238006808031,0.7970585856144967,0.5094174280015653,4.8589914086476,7.060991236192265,2.6569915811029343,0.5707934804132085,0.4468424395314105,0.6947445212950065,28.458600749817926,49.85759723758398,7.059604262051871,Sierra Leone
6,DHS2019_all_none,none,N-N,no,no,metadata,1,1248639155,CB,DHS2019_all_none/epoch1-rs1248639155/xgb-all/test_pred_xgb.csv,0.6585238557319109,0.8288238912562969,0.48822382020752475,4.500820066692265,6.5208727671429445,2.4807673662415866,0.562078247365924,0.411915724305545,0.7122407704263031,24.33799418533785,42.52178164526648,6.154206725409217,Sierra Leone
7,DHS2019_all_none,none,N-N,no,no,metadata,2,1385043576,CB,DHS2019_all_none/epoch2-rs1385043576/xgb-all/test_pred_xgb.csv,0.6615564018030424,0.8277716842849939,0.49534111932109093,4.6059120371080375,6.525103954167288,2.686720120048788,0.5602253188742234,0.41317979260335536,0.7072708451450916,24.897723308082277,42.57698161268958,7.218465003474974,Sierra Leone
8,DHS2019_all_none,none,N-N,no,no,metadata,3,879049882,CB,DHS2019_all_none/epoch3-rs879049882/xgb-all/test_pred_xgb.csv,0.6769267760233162,0.7868147657659963,0.5670387862806361,4.9887749985820875,7.349084754019131,2.628465243145045,0.5573979441093947,0.4596903178441659,0.6551055703746235,30.458938128088985,54.00904672175643,6.90882953442154,Sierra Leone
9,DHS2019_all300_none,none,N300,no,no,metadata,1,4227660110,CB,DHS2019_all300_none/epoch1-rs4227660110/xgb-all/test_pred_xgb.csv,0.5108973348256408,0.7947998785436838,0.2269947911075978,5.445724170073473,7.384119049165485,3.507329290981461,0.6608742900435106,0.44943728100655067,0.8723112990804706,33.41328644381255,54.52521413224859,12.30135875537652,Sierra Leone
10,DHS2019_all300_none,none,N300,no,no,metadata,2,224841424,CB,DHS2019_all300_none/epoch2-rs224841424/xgb-all/test_pred_xgb.csv,0.6703982290352294,0.8565160390518431,0.4842804190186156,4.237263279062935,6.224030665685286,2.2504958924405845,0.5440941721554634,0.37577445064626686,0.71241389366466,21.901644744641384,38.73855772739083,5.064731761891943,Sierra Leone
11,DHS2019_all300_none,none,N300,no,no,metadata,3,943592249,CB,DHS2019_all300_none/epoch3-rs943592249/xgb-all/test_pred_xgb.csv,0.6213664910654892,0.8120083859328362,0.4307245961981422,4.832122280042298,7.017315566534853,2.6469289935497433,0.5893824837649062,0.4301793173751666,0.7485856501546457,28.12447542861331,49.24271776033236,7.006233096894257,Sierra Leone
